cxl_gb,label,workload,mean_TTFT_ms,p99_TTFT_ms,mean_TPOT_ms,p99_TPOT_ms,mean_ITL_ms,num_requests,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_npu_to_cpu_count,evict_npu_to_cxl_count,load_cpu_to_npu_count,load_cxl_to_npu_count
0,No CXL,sharegpt_300,440.97952893999997,6159.45209583,69.90486906999999,134.26251337000028,69.9048695291706,100,337641472,0,337641472,0,29,0,11,0
0,No CXL,fixed_256,78.69496373999999,138.63611206000002,69.6325054,83.70923814999999,69.63250588583169,100,786432000,0,786432000,0,35,0,16,0
4,4GB,sharegpt_300,441.04838878999993,6160.82929283,69.91344801,134.2871826500003,69.9134484873606,100,0,337641472,0,337641472,0,29,0,11
4,4GB,fixed_256,78.69496373999999,138.63611206000002,69.64441119000001,83.72288015,69.64441168469668,100,0,786432000,0,786432000,0,35,0,16
8,8GB,sharegpt_300,441.04838878999993,6160.82929283,69.91344801,134.2871826500003,69.9134484873606,100,0,337641472,0,337641472,0,29,0,11
8,8GB,fixed_256,78.69496373999999,138.63611206000002,69.64441119000001,83.72288015,69.64441168469668,100,0,786432000,0,786432000,0,35,0,16
16,16GB,sharegpt_300,441.04838878999993,6160.82929283,69.91344801,134.2871826500003,69.9134484873606,100,0,337641472,0,337641472,0,29,0,11
16,16GB,fixed_256,78.69496373999999,138.63611206000002,69.64441119000001,83.72288015,69.64441168469668,100,0,786432000,0,786432000,0,35,0,16
32,32GB,sharegpt_300,441.04838878999993,6160.82929283,69.91344801,134.2871826500003,69.9134484873606,100,0,337641472,0,337641472,0,29,0,11
32,32GB,fixed_256,78.69496373999999,138.63611206000002,69.64441119000001,83.72288015,69.64441168469668,100,0,786432000,0,786432000,0,35,0,16
64,64GB,sharegpt_300,441.04838878999993,6160.82929283,69.91344801,134.2871826500003,69.9134484873606,100,0,337641472,0,337641472,0,29,0,11
64,64GB,fixed_256,78.69496373999999,138.63611206000002,69.64441119000001,83.72288015,69.64441168469668,100,0,786432000,0,786432000,0,35,0,16
128,128GB,sharegpt_300,441.04838878999993,6160.82929283,69.91344801,134.2871826500003,69.9134484873606,100,0,337641472,0,337641472,0,29,0,11
128,128GB,fixed_256,78.69496373999999,138.63611206000002,69.64441119000001,83.72288015,69.64441168469668,100,0,786432000,0,786432000,0,35,0,16
256,256GB,sharegpt_300,441.04838878999993,6160.82929283,69.91344801,134.2871826500003,69.9134484873606,100,0,337641472,0,337641472,0,29,0,11
256,256GB,fixed_256,78.69496373999999,138.63611206000002,69.64441119000001,83.72288015,69.64441168469668,100,0,786432000,0,786432000,0,35,0,16
