sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16083591168,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16171671552,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16207323136,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16498827264,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16605782016,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16716931072,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17077641216,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17083932672,17179869184,174063616,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,186646528,12582912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17102807040,17179869184,174063616,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,186646528,12582912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17117487104,17179869184,320864256,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,333447168,12582912,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17081835520,17179869184,568328192,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,629145600,60817408,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17163624448,17179869184,595591168,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,910163968,314572800,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17094418432,17179869184,864026624,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1239416832,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17094418432,17179869184,968884224,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1344274432,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17111195648,17179869184,968884224,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1344274432,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17132167168,17179869184,968884224,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1344274432,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17109098496,17179869184,1270874112,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1646264320,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17104904192,17179869184,1440743424,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1816133632,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17117487104,17179869184,1440743424,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1816133632,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17119584256,17179869184,1440743424,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1816133632,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17178304512,17179869184,1440743424,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1816133632,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17113292800,17179869184,1585446912,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1960837120,375390208,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17125875712,17179869184,1652555776,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2055208960,402653184,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17102807040,17179869184,1704984576,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2149580800,444596224,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17134264320,17179869184,1704984576,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2149580800,444596224,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17144750080,17179869184,1704984576,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2149580800,444596224,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17109098496,17179869184,1759510528,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2256535552,497025024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17123778560,17179869184,1759510528,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2256535552,497025024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17157332992,17179869184,1759510528,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2256535552,497025024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17109098496,17179869184,1734344704,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2367684608,633339904,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17136361472,17179869184,1719664640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2367684608,648019968,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17138458624,17179869184,1719664640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2367684608,648019968,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17111195648,17179869184,1772093440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2464153600,692060160,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17130070016,17179869184,1772093440,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2464153600,692060160,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17096515584,17179869184,1830813696,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2535456768,704643072,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17092321280,17179869184,1776287744,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2535456768,759169024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17104904192,17179869184,1776287744,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2535456768,759169024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17109098496,17179869184,1776287744,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2535456768,759169024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17136361472,17179869184,1776287744,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2535456768,759169024,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17088126976,17179869184,1832910848,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2661285888,828375040,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17098612736,17179869184,1830813696,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2661285888,830472192,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17088126976,17179869184,1803550720,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2661285888,857735168,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17109098496,17179869184,1803550720,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2661285888,857735168,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17115389952,17179869184,1803550720,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2661285888,857735168,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
