instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,5,meta-llama/Llama-3.1-8B,19,51,604829891,2068180793,1463350902,72082208,100711222,43956118,"[49854534, 25040478, 25040478, 25062055, 72682045, 25040478, 65830564, 25354389, 25237850, 141722766, 25237850, 25750590, 25237850, 51023160, 25524084, 25750590, 25750590, 27340661, 25546260, 25787024, 25750590, 25546260, 25511988, 25787024, 29562388, 66260449, 31643421, 25830947, 26096286, 285179366, 31656665]",0,0,0,NPU,8388608,0,8388608,0,8388608,8388608,1.0,cold,38462,3,0,31,1.0,16777216
0,23,meta-llama/Llama-3.1-8B,23,37,2013730478,2505522389,491791911,22793650,54450315,33641661,"[67641081, 26684141, 26813963, 26844708, 26822699, 30194542, 28389047, 27053451, 30104458, 54329919, 32449216, 32926320, 27088051]",0,0,0,NPU,6291456,0,6291456,0,6291456,6291456,1.0,cold,28819,2,0,13,1.0,12582912
0,0,meta-llama/Llama-3.1-8B,20,133,46926808,4463691308,4416764500,0,26185905,39201594,"[25018078, 24018078, 24018078, 24018078, 24018078, 24018078, 24018078, 24018078, 24018078, 24018078, 24018078, 24018078, 49691570, 24481019, 24481019, 24481019, 26627111, 24481019, 24432469, 24481019, 91426205, 28629014, 24792479, 25062055, 25040478, 25040478, 25062055, 72682045, 90871042, 25354389, 25237850, 141722766, 25237850, 25750590, 25237850, 25272570, 25750590, 25524084, 25750590, 25750590, 27340661, 25546260, 25787024, 25750590, 51058248, 25787024, 29562388, 66260449, 31643421, 25830947, 26096286, 93966115, 191213251, 31656665, 26640156, 41000925, 26684141, 26813963, 26844708, 26822699, 58583589, 27053451, 30104458, 27053451, 27276468, 32449216, 32926320, 27088051, 27507648, 54486683, 29334531, 27768217, 27507648, 27507648, 27507648, 27680923, 54552936, 27768217, 164525273, 27768217, 28111936, 27761521, 27684411, 27684411, 27763985, 27680923, 45797577, 28107904, 27768217, 27764953, 27764953, 30445534, 33371469, 28107904, 56612442, 31151345, 28500506, 29947924, 31015279, 28417079, 42158498, 28678924, 29482892, 29738742, 28871748, 28871748, 28871748, 28857449, 94377592, 167294083, 242235827, 63353806]",0,0,0,NPU,18874368,0,18874368,0,18874368,18874368,1.0,cold,86677,8,0,112,1.0,37748736
0,49,meta-llama/Llama-3.1-8B,2,14,4229722316,4801991289,572268973,170615186,203865279,33491244,"[60458090, 30103713, 29995581, 29995581, 34074100, 30103713, 30416036, 30677516, 30103713, 32180497, 30295154]",0,0,0,NPU,2097152,0,2097152,0,2097152,2097152,1.0,cold,9643,1,0,11,1.0,4194304
0,35,meta-llama/Llama-3.1-8B,10,44,3336021694,4892493869,1556472175,17307075,47752609,45718774,"[61479373, 28111936, 28500506, 31151345, 28500506, 29947924, 59432358, 42158498, 28678924, 29482892, 29738742, 28871748, 28871748, 28871748, 28857449, 94377592, 167294083, 242235827, 33250093, 30103713, 30354377, 30103713, 59991162, 34074100, 30103713, 30416036, 30677516, 30103713, 32180497, 30295154, 30295154, 30103713, 30103713]",0,0,0,NPU,6291456,0,6291456,0,6291456,6291456,1.0,cold,28929,3,0,33,1.0,12582912
0,2,meta-llama/Llama-3.1-8B,15,130,479613520,5106024866,4626411346,5850756,32477867,40297662,"[48913488, 115907224, 28629014, 24792479, 25062055, 25040478, 25040478, 25062055, 72682045, 25040478, 65830564, 25354389, 25237850, 141722766, 25237850, 25750590, 25237850, 51023160, 25524084, 25750590, 25750590, 27340661, 25546260, 25787024, 25750590, 25546260, 25511988, 25787024, 29562388, 66260449, 31643421, 25830947, 26096286, 285179366, 31656665, 26640156, 41000925, 26684141, 26813963, 26844708, 26822699, 30194542, 28389047, 27053451, 30104458, 27053451, 27276468, 32449216, 32926320, 54595699, 54486683, 29334531, 27768217, 27507648, 27507648, 27507648, 27680923, 27276468, 27276468, 27768217, 164525273, 27768217, 28111936, 27761521, 27684411, 55448396, 27680923, 45797577, 28107904, 27768217, 27764953, 27764953, 30445534, 33371469, 28107904, 28111936, 28500506, 31151345, 28500506, 29947924, 31015279, 28417079, 70837422, 29482892, 29738742, 28871748, 28871748, 28871748, 28857449, 94377592, 167294083, 242235827, 33250093, 30103713, 30354377, 30103713, 29995581, 29995581, 64177813, 30416036, 30677516, 30103713, 32180497, 30295154, 30295154, 30103713, 30103713, 29995581, 30416036, 30295154, 30354377, 32262423, 30103713, 30103713]",0,0,0,NPU,16777216,0,16777216,0,16777216,16777216,1.0,cold,77144,8,0,114,1.0,33554432
0,37,meta-llama/Llama-3.1-8B,12,52,3382628210,5136020447,1753392237,1146093,34517562,44073709,"[56219840, 28500506, 31151345, 28500506, 60963203, 28417079, 42158498, 28678924, 29482892, 29738742, 28871748, 28871748, 28871748, 28857449, 94377592, 167294083, 242235827, 33250093, 30103713, 30354377, 60099294, 29995581, 34074100, 30103713, 30416036, 30677516, 30103713, 32180497, 30295154, 30295154, 30103713, 30103713, 29995581, 30416036, 30295154, 30354377, 62366136, 30103713, 29995581]",0,0,0,NPU,8388608,0,8388608,0,8388608,8388608,1.0,cold,38572,4,0,39,1.0,16777216
0,9,meta-llama/Llama-3.1-8B,660,762,1026970074,5165836463,4138866389,17713910,159436676,39400294,"[50988440, 25237850, 25272570, 25750590, 25524084, 25750590, 25750590, 27340661, 25546260, 25787024, 25750590, 25546260, 51299012, 29562388, 66260449, 31643421, 25830947, 26096286, 93966115, 191213251, 31656665, 26640156, 41000925, 26684141, 26813963, 26844708, 26822699, 30194542, 55442498, 30104458, 27053451, 27276468, 32449216, 32926320, 27088051, 27507648, 54486683, 29334531, 27768217, 27507648, 27507648, 27507648, 27680923, 27276468, 55044685, 164525273, 27768217, 28111936, 27761521, 27684411, 27684411, 27763985, 27680923, 45797577, 28107904, 27768217, 27764953, 27764953, 30445534, 33371469, 28107904, 56612442, 31151345, 28500506, 29947924, 31015279, 28417079, 42158498, 28678924, 29482892, 29738742, 28871748, 28871748, 28871748, 28857449, 94377592, 167294083, 275485920, 30103713, 30354377, 30103713, 29995581, 29995581, 34074100, 30103713, 30416036, 30677516, 30103713, 32180497, 30295154, 30295154, 30103713, 30103713, 60411617, 30295154, 30354377, 32262423, 30103713, 30103713, 29995581, 29816016]",0,0,0,NPU,100663296,0,100663296,0,100663296,100663296,1.0,cold,458334,7,0,101,1.0,201326592
0,4,meta-llama/Llama-3.1-8B,20,153,587870262,6408401263,5820531001,89041837,117670851,43203485,"[49854534, 25040478, 25040478, 25062055, 72682045, 25040478, 65830564, 25354389, 25237850, 141722766, 25237850, 25750590, 50510420, 25750590, 25524084, 25750590, 25750590, 27340661, 25546260, 25787024, 25750590, 25546260, 25511988, 25787024, 29562388, 66260449, 31643421, 25830947, 120062401, 191213251, 31656665, 26640156, 41000925, 26684141, 26813963, 26844708, 26822699, 30194542, 28389047, 27053451, 30104458, 27053451, 27276468, 32449216, 60014371, 27507648, 54486683, 29334531, 27768217, 27507648, 27507648, 27507648, 27680923, 27276468, 27276468, 27768217, 164525273, 27768217, 28111936, 27761521, 55368822, 27763985, 27680923, 45797577, 28107904, 27768217, 27764953, 27764953, 30445534, 33371469, 28107904, 28111936, 28500506, 31151345, 28500506, 29947924, 31015279, 70575577, 28678924, 29482892, 29738742, 28871748, 28871748, 28871748, 28857449, 94377592, 167294083, 242235827, 33250093, 30103713, 30354377, 30103713, 29995581, 29995581, 64177813, 30416036, 30677516, 30103713, 32180497, 30295154, 30295154, 30103713, 30103713, 29995581, 30416036, 30295154, 30354377, 32262423, 30103713, 30103713, 59811597, 30103713, 30295154, 29746454, 31714765, 29816016, 29995581, 202414493, 29995581, 29995581, 204280385, 33947303, 30922283, 30922283, 30922283, 33046611, 32837923, 53888024, 31192538, 252987531, 31770149, 31770149]",0,0,0,NPU,20971520,0,20971520,0,20971520,20971520,1.0,cold,96320,9,0,132,1.0,41943040
0,10,meta-llama/Llama-3.1-8B,37,166,1029050004,6598029893,5568979889,15633980,157356746,42278305,"[50988440, 25237850, 25272570, 25750590, 25524084, 25750590, 25750590, 27340661, 25546260, 25787024, 25750590, 51058248, 25787024, 29562388, 66260449, 31643421, 25830947, 26096286, 93966115, 191213251, 31656665, 26640156, 41000925, 26684141, 26813963, 26844708, 26822699, 58583589, 27053451, 30104458, 27053451, 27276468, 32449216, 32926320, 27088051, 27507648, 54486683, 29334531, 27768217, 27507648, 27507648, 27507648, 27680923, 54552936, 27768217, 164525273, 27768217, 28111936, 27761521, 27684411, 27684411, 27763985, 27680923, 45797577, 28107904, 27768217, 27764953, 27764953, 30445534, 61479373, 28111936, 28500506, 31151345, 28500506, 29947924, 31015279, 28417079, 42158498, 28678924, 29482892, 29738742, 28871748, 28871748, 28871748, 28857449, 261671675, 242235827, 33250093, 30103713, 30354377, 30103713, 29995581, 29995581, 34074100, 30103713, 30416036, 30677516, 30103713, 32180497, 30295154, 30295154, 60207426, 29995581, 30416036, 30295154, 30354377, 32262423, 30103713, 30103713, 29995581, 29816016, 30103713, 30295154, 29746454, 31714765, 29816016, 29995581, 232410074, 29995581, 204280385, 33947303, 30922283, 30922283, 30922283, 33046611, 32837923, 53888024, 31192538, 176882861, 76104670, 31770149, 31770149, 31602793, 31602793, 31602793, 31614665, 31602793, 31602793]",0,0,0,NPU,20971520,0,20971520,0,20971520,20971520,1.0,cold,96209,8,0,128,1.0,41943040
