sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16060522496,17179869184,2097152,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,10485760,8388608,0,0,0,0,0,997,0,3,2097152,0.000000,48105,0.000000
1000000000,0,16060522496,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,167772160,167772160,0,0,0,0,0,991,0,9,0,0.000000,764260,0.000000
1500000000,0,16060522496,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,289406976,285212672,0,0,0,0,0,988,0,12,4194304,0.000000,1318803,0.000000
2000000000,0,16077299712,17179869184,136314880,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,545259520,408944640,0,0,0,0,0,980,0,20,136314880,0.000000,2483317,0.000000
2500000000,0,16066813952,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,658505728,658505728,0,0,0,0,0,970,0,28,0,0.000000,3001610,0.000000
3000000000,0,16060522496,17179869184,111149056,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,849346560,738197504,0,0,0,0,0,966,0,32,111149056,0.000000,3872162,0.000000
3500000000,0,16064716800,17179869184,2097152,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,941621248,939524096,0,0,0,0,0,962,0,36,2097152,0.000000,4295570,0.000000
4000000000,0,16240877568,17179869184,115343360,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1205862400,1090519040,0,0,0,0,0,955,0,43,115343360,0.000000,5501308,0.000000
4500000000,0,16075202560,17179869184,8388608,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1415577600,1407188992,0,0,0,0,0,950,0,47,8388608,0.000000,6456328,0.000000
5000000000,0,16073105408,17179869184,6291456,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1518338048,1512046592,0,0,0,0,0,948,0,47,6291456,0.000000,6928393,0.000000
