sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16060522496,17179869184,2097152,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,10485760,8388608,0,0,0,0,0,997,0,3,2097152,0.000000,48105,0.000000
1000000000,0,16060522496,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,167772160,167772160,0,0,0,0,0,991,0,9,0,0.000000,764150,0.000000
1500000000,0,16060522496,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,289406976,285212672,0,0,0,0,0,988,0,12,4194304,0.000000,1318693,0.000000
2000000000,0,16081494016,17179869184,132120576,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,541065216,408944640,0,0,0,0,0,980,0,20,132120576,0.000000,2463921,0.000000
2500000000,0,16068911104,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,656408576,652214272,0,0,0,0,0,970,0,28,4194304,0.000000,2991747,0.000000
3000000000,0,16071008256,17179869184,111149056,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,838860800,727711744,0,0,0,0,0,966,0,32,111149056,0.000000,3823727,0.000000
3500000000,0,16075202560,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,931135488,926941184,0,0,0,0,0,962,0,36,4194304,0.000000,4246915,0.000000
4000000000,0,16268140544,17179869184,111149056,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1178599424,1067450368,0,0,0,0,0,955,0,43,111149056,0.000000,5375069,0.000000
4500000000,0,16106659840,17179869184,6291456,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1382023168,1375731712,0,0,0,0,0,950,0,47,6291456,0.000000,6300830,0.000000
5000000000,0,16110854144,17179869184,6291456,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1484783616,1478492160,0,0,0,0,0,948,0,47,6291456,0.000000,6771465,0.000000
5500000000,0,16100368384,17179869184,140509184,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1700790272,1560281088,0,0,0,0,0,945,0,47,140509184,0.000000,7755972,0.000000
6000000000,0,16148602880,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1893728256,1889533952,0,0,0,0,0,937,0,55,4194304,0.000000,8634956,0.000000
6500000000,0,16146505728,17179869184,6291456,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2128609280,2122317824,0,0,0,0,0,931,0,60,6291456,0.000000,9704592,0.000000
7000000000,0,16184254464,17179869184,109051904,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2508193792,2399141888,0,0,0,0,0,928,0,61,109051904,0.000000,11431750,0.000000
7500000000,0,16171671552,17179869184,62914560,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2673868800,2610954240,0,0,0,0,0,922,0,66,62914560,0.000000,12187037,0.000000
8000000000,0,16180060160,17179869184,8388608,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2824863744,2816475136,0,0,0,0,0,917,0,68,8388608,0.000000,12875593,0.000000
8500000000,0,16184254464,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2977955840,2967470080,0,0,0,0,0,910,0,73,10485760,0.000000,13574348,0.000000
9000000000,0,16198934528,17179869184,8388608,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3114270720,3105882112,0,0,0,0,0,906,0,75,8388608,0.000000,14197064,0.000000
9500000000,0,16492535808,17179869184,142606336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3539992576,3397386240,0,0,0,0,0,900,0,81,142606336,0.000000,16133271,0.000000
