sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16714833920,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16903577600,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17012629504,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17174110208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17178304512,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4194304,4194304,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17178304512,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,8388608,4194304,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17178304512,17179869184,4194304,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,8388608,4194304,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17178304512,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,14680064,4194304,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17178304512,17179869184,16777216,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,4194304,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17178304512,17179869184,10485760,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,10485760,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17134264320,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20971520,20971520,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17104904192,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17107001344,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17107001344,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17109098496,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17111195648,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17111195648,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17113292800,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17113292800,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17115389952,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17115389952,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17117487104,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17117487104,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17119584256,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17119584256,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17121681408,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17121681408,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17121681408,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,50331648,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17157332992,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,125829120,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,125829120,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,125829120,125829120,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17157332992,17179869184,23068672,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,203423744,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17157332992,17179869184,23068672,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,203423744,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17159430144,17179869184,23068672,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,203423744,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17159430144,17179869184,23068672,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,203423744,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17159430144,17179869184,23068672,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,203423744,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,17161527296,17179869184,23068672,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,226492416,203423744,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
