dataset,seed,capacity_pct,peak_kv_bytes,peak_kv_gib,npu_mem_gib,config
sharegpt1000,42,70,14531166208,13.533203125,24.43076934814453,cluster_config/m1_closeout_sharegpt1000_seed42_kv70.json
sharegpt1000,42,85,14531166208,13.533203125,26.46074981689453,cluster_config/m1_closeout_sharegpt1000_seed42_kv85.json
sharegpt1000,42,120,14531166208,13.533203125,31.19737091064453,cluster_config/m1_closeout_sharegpt1000_seed42_kv120.json
fixed512,42,70,18297651200,17.041015625,26.88623809814453,cluster_config/m1_closeout_fixed512_seed42_kv70.json
fixed512,42,85,18297651200,17.041015625,29.44239044189453,cluster_config/m1_closeout_fixed512_seed42_kv85.json
fixed512,42,120,18297651200,17.041015625,35.40674591064453,cluster_config/m1_closeout_fixed512_seed42_kv120.json
sharegpt1000,43,70,16265510912,15.1484375,25.561433410644533,cluster_config/m1_closeout_sharegpt1000_seed43_kv70.json
sharegpt1000,43,85,16265510912,15.1484375,27.833699035644532,cluster_config/m1_closeout_sharegpt1000_seed43_kv85.json
sharegpt1000,43,120,16265510912,15.1484375,33.13565216064453,cluster_config/m1_closeout_sharegpt1000_seed43_kv120.json
sharegpt1000,44,70,17083400192,15.91015625,26.094636535644533,cluster_config/m1_closeout_sharegpt1000_seed44_kv70.json
sharegpt1000,44,85,17083400192,15.91015625,28.481159973144532,cluster_config/m1_closeout_sharegpt1000_seed44_kv85.json
sharegpt1000,44,120,17083400192,15.91015625,34.04971466064453,cluster_config/m1_closeout_sharegpt1000_seed44_kv120.json
fixed512,43,70,21734883328,20.2421875,29.12705841064453,cluster_config/m1_closeout_fixed512_seed43_kv70.json
fixed512,43,85,21734883328,20.2421875,32.163386535644534,cluster_config/m1_closeout_fixed512_seed43_kv85.json
fixed512,43,120,21734883328,20.2421875,39.24815216064453,cluster_config/m1_closeout_fixed512_seed43_kv120.json
fixed512,44,70,21544042496,20.064453125,29.002644348144532,cluster_config/m1_closeout_fixed512_seed44_kv70.json
fixed512,44,85,21544042496,20.064453125,32.01231231689453,cluster_config/m1_closeout_fixed512_seed44_kv85.json
fixed512,44,120,21544042496,20.064453125,39.03487091064453,cluster_config/m1_closeout_fixed512_seed44_kv120.json
