dataset,seed,capacity_pct,policy,throughput_tok_s,mean_latency_s,p99_latency_s,spills,movement_gib,capacity_blocked_unique,capacity_block_wait_request_s,policy_deferred_unique,policy_wait_request_s,average_batch_size,average_decode_batch_size,mean_active_decode_requests,mean_eligible_queue_requests
sharegpt1000,42,70,lru,2781.59,53.602396968757,87.754517205,112,4.904296875,848,39717.288228297,0,0.0,69.93846923461732,69.68834417208605,161.22535211267606,224.73521126760562
sharegpt1000,42,70,reserve_lru,3852.04,25.787433260669,108.790787741,324,21.736328125,0,0.0,268,7163.975319206,116.26361746361746,115.84781704781705,200.49609375,56.140625
sharegpt1000,42,85,lru,3180.41,40.550054271478,77.760492054,73,3.828125,797,24989.343230042,0,0.0,85.45660146699267,85.15097799511003,182.79354838709676,160.86774193548388
sharegpt1000,42,85,reserve_lru,4141.85,21.146844256218,83.976140073,185,14.091796875,0,0.0,165,1624.54080809,131.95563945257197,131.48371873525247,176.61344537815125,13.739495798319327
sharegpt1000,42,120,lru,4141.85,19.918884987408,64.238755443,0,0.0,0,0.0,0,0.0,131.95563945257197,131.48371873525247,166.30252100840337,0
sharegpt1000,42,120,reserve_lru,4141.85,19.918884987408,64.238755443,0,0.0,0,0.0,0,0.0,131.95563945257197,131.48371873525247,166.30252100840337,0
sharegpt1000,43,70,lru,2711.96,61.338425932257,103.528533362,123,5.609375,818,47692.516399738,0,0.0,67.62128174123337,67.3794437726723,177.7554945054945,259.6675824175824
sharegpt1000,43,70,reserve_lru,3979.73,25.172830345708,100.793758971,256,18.13671875,0,0.0,226,5861.051955795,123.66828836797877,123.22600619195046,202.05645161290323,47.36290322580645
sharegpt1000,43,85,lru,3458.36,36.720151304138,78.158544763,60,3.03515625,695,20007.374821234,0,0.0,97.5284269271015,97.17963027554936,191.2842105263158,139.6701754385965
sharegpt1000,43,85,reserve_lru,4154.41,21.368687140612,82.53426026,131,11.24609375,0,0.0,119,1220.875464047,132.70716658756527,132.2325581395349,179.32489451476792,10.371308016877638
