sim_time_ns,instance_id,policy,event_type,reason,npu_used_bytes,npu_kv_bytes,kv_capacity_bytes,cpu_used_bytes,cxl_used_bytes,reserve_bytes,forecast_bytes,pressure,kv_pressure,trigger,target,active_decode_requests,resident_decode_requests,request_id,request_input_tokens,request_generated_tokens,raw_bytes,stored_bytes,storage_tier,score,utility,selected_requests,deferred_requests
33519806300,0,oracle_reserve_lru,trigger,forecast_above_trigger,30648311808,14587789312,15214417888,0,0,660602880,31308914688,1.0010863107517667,1.00223303344565,1.0,0.98,319,319,-1,0,0,0,0,,0.0,0.0,319,0
33519806300,0,oracle_reserve_lru,spill,proactive_target_headroom,30564425728,14503903232,15214417888,83886080,0,660602880,31225028608,0.9984040968459996,0.996719442283798,1.0,0.98,319,318,7,638,510,83886080,83886080,CPU,33519806300.0,0.0,0,0
33519806300,0,oracle_reserve_lru,spill,proactive_target_headroom,30480539648,14420017152,15214417888,167772160,0,660602880,31141142528,0.9957218829402326,0.991205851121946,1.0,0.98,319,317,8,637,509,83886080,83886080,CPU,33519806300.0,0.0,0,0
33519806300,0,oracle_reserve_lru,spill,proactive_target_headroom,30396653568,14336131072,15214417888,251658240,0,660602880,31057256448,0.9930396690344655,0.985692259960094,1.0,0.98,319,316,9,630,502,83886080,83886080,CPU,33519806300.0,0.0,0,0
33519806300,0,oracle_reserve_lru,spill,proactive_target_headroom,30312767488,14252244992,15214417888,335544320,0,660602880,30973370368,0.9903574551286984,0.980178668798242,1.0,0.98,319,315,10,626,498,83886080,83886080,CPU,33519806300.0,0.0,0,0
33519806300,0,oracle_reserve_lru,spill,proactive_target_headroom,30230978560,14170456064,15214417888,417333248,0,658505728,30889484288,0.9876752412229315,0.97466507763639,1.0,0.98,319,314,11,620,492,81788928,81788928,CPU,33519806300.0,0.0,0,0
34434374214,0,oracle_reserve_lru,trigger,forecast_above_trigger,30665089024,14604566528,15214417888,417333248,0,683671552,31348760576,1.002360362357006,1.0048519892475298,1.0,0.98,331,326,-1,0,0,0,0,,0.0,0.0,331,0
34434374214,0,oracle_reserve_lru,spill,proactive_target_headroom,30583300096,14522777600,15214417888,499122176,0,681574400,31264874496,0.9996781484512389,0.9993383980856777,1.0,0.98,331,325,12,622,494,81788928,81788928,CPU,34434374214.0,0.0,0,0
34434374214,0,oracle_reserve_lru,spill,proactive_target_headroom,30501511168,14440988672,15214417888,580911104,0,679477248,31180988416,0.9969959345454719,0.9938248069238257,1.0,0.98,331,324,13,621,493,81788928,81788928,CPU,34434374214.0,0.0,0,0
34434374214,0,oracle_reserve_lru,spill,proactive_target_headroom,30419722240,14359199744,15214417888,662700032,0,677380096,31097102336,0.9943137206397049,0.9883112157619737,1.0,0.98,331,323,14,621,493,81788928,81788928,CPU,34434374214.0,0.0,0,0
34434374214,0,oracle_reserve_lru,spill,proactive_target_headroom,30337933312,14277410816,15214417888,744488960,0,675282944,31013216256,0.9916315067339379,0.9827976246001217,1.0,0.98,331,322,15,620,492,81788928,81788928,CPU,34434374214.0,0.0,0,0
34434374214,0,oracle_reserve_lru,spill,proactive_target_headroom,30256144384,14195621888,15214417888,826277888,0,673185792,30929330176,0.9889492928281708,0.9772840334382696,1.0,0.98,331,321,16,620,492,81788928,81788928,CPU,34434374214.0,0.0,0,0
35164729210,0,oracle_reserve_lru,trigger,forecast_above_trigger,30631534592,14571012096,15214417888,826277888,0,679477248,31311011840,1.0011533660994107,1.0023708732246963,1.0,0.98,338,328,-1,0,0,0,0,,0.0,0.0,338,0
35164729210,0,oracle_reserve_lru,spill,proactive_target_headroom,30547648512,14487126016,15214417888,910163968,0,679477248,31227125760,0.9984711521936438,0.9968572820628443,1.0,0.98,338,327,17,626,498,83886080,83886080,CPU,35164729210.0,0.0,0,0
35164729210,0,oracle_reserve_lru,spill,proactive_target_headroom,30463762432,14403239936,15214417888,994050048,0,679477248,31143239680,0.9957889382878767,0.9913436909009923,1.0,0.98,338,326,18,626,498,83886080,83886080,CPU,35164729210.0,0.0,0,0
35164729210,0,oracle_reserve_lru,spill,proactive_target_headroom,30379876352,14319353856,15214417888,1077936128,0,679477248,31059353600,0.9931067243821097,0.9858300997391403,1.0,0.98,338,325,19,625,497,83886080,83886080,CPU,35164729210.0,0.0,0,0
35164729210,0,oracle_reserve_lru,spill,proactive_target_headroom,30295990272,14235467776,15214417888,1161822208,0,679477248,30975467520,0.9904245104763426,0.9803165085772882,1.0,0.98,338,324,20,625,497,83886080,83886080,CPU,35164729210.0,0.0,0,0
35164729210,0,oracle_reserve_lru,spill,proactive_target_headroom,30214201344,14153678848,15214417888,1243611136,0,677380096,30891581440,0.9877422965705757,0.9748029174154362,1.0,0.98,338,323,21,619,491,81788928,81788928,CPU,35164729210.0,0.0,0,0
35660561873,0,oracle_reserve_lru,trigger,forecast_above_trigger,30625243136,14564720640,15214417888,1243611136,0,681574400,31306817536,1.0010192554041224,1.0020951936666038,1.0,0.98,342,327,-1,0,0,0,0,,0.0,0.0,342,0
35660561873,0,oracle_reserve_lru,spill,proactive_target_headroom,30541357056,14480834560,15214417888,1327497216,0,681574400,31222931456,0.9983370414983554,0.9965816025047517,1.0,0.98,342,326,22,626,498,83886080,83886080,CPU,35660561873.0,0.0,0,0
35660561873,0,oracle_reserve_lru,spill,proactive_target_headroom,30457470976,14396948480,15214417888,1411383296,0,681574400,31139045376,0.9956548275925884,0.9910680113428997,1.0,0.98,342,325,23,626,498,83886080,83886080,CPU,35660561873.0,0.0,0,0
35660561873,0,oracle_reserve_lru,spill,proactive_target_headroom,30375682048,14315159552,15214417888,1493172224,0,679477248,31055159296,0.9929726136868213,0.9855544201810477,1.0,0.98,342,324,24,623,495,81788928,81788928,CPU,35660561873.0,0.0,0,0
