sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate,active_decode_requests,resident_decode_requests,evicted_decode_requests,eligible_queue_requests,policy_deferred_requests,capacity_blocked_requests,last_batch_size,last_decode_batch_size,last_prefill_batch_size
500000000,0,16144408576,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,6,6,0,0,0,0,6,6,0
1000000000,0,16360415232,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,13,13,0,0,0,0,14,13,1
1500000000,0,16677085184,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,22,22,0,0,0,0,22,22,0
2000000000,0,16899383296,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,27,27,0,0,0,0,30,27,3
2500000000,0,17115389952,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,32,32,0,0,0,0,33,32,1
3000000000,0,17144750080,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,32,32,0,0,0,0,32,32,0
3500000000,0,17341882368,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,36,36,0,0,0,0,37,36,1
4000000000,0,17549500416,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,40,40,0,0,0,0,43,40,3
4500000000,0,17599832064,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,44,44,0,0,0,0,44,44,0
5000000000,0,17799061504,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,47,47,0,0,0,0,47,47,0
5500000000,0,18025553920,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,52,52,0,0,0,0,58,52,6
6000000000,0,18220589056,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,61,61,0,0,0,0,61,61,0
6500000000,0,18289795072,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,61,61,0,0,0,0,61,61,0
7000000000,0,18621145088,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,68,68,0,0,0,0,71,68,3
7500000000,0,18801500160,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,71,71,0,0,0,0,73,71,2
8000000000,0,18914746368,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,75,75,0,0,0,0,75,75,0
8500000000,0,19078324224,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,79,79,0,0,0,0,79,79,0
9000000000,0,19350953984,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,87,87,0,0,0,0,87,87,0
9500000000,0,19499851776,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,93,93,0,0,0,0,94,93,1
10000000000,0,19529211904,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,94,94,0,0,0,0,96,94,2
10500000000,0,19621486592,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,98,98,0,0,0,0,98,98,0
11000000000,0,19971710976,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,100,100,0,0,0,0,101,100,1
11500000000,0,20269506560,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,102,102,0,0,0,0,102,102,0
12000000000,0,20537942016,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,104,104,0,0,0,0,104,104,0
12500000000,0,20823154688,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,112,112,0,0,0,0,112,112,0
13000000000,0,20833640448,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,115,115,0,0,0,0,115,115,0
13500000000,0,20403724288,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,110,110,0,0,0,0,111,110,1
14000000000,0,20579885056,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,117,117,0,0,0,0,118,117,1
14500000000,0,20628119552,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,118,118,0,0,0,0,118,118,0
15000000000,0,20827348992,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,118,118,0,0,0,0,119,118,1
15500000000,0,21372608512,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,124,124,0,0,0,0,126,124,2
16000000000,0,21435523072,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,129,129,0,0,0,0,130,129,1
16500000000,0,21940936704,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,136,136,0,0,0,0,137,136,1
17000000000,0,22075154432,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,140,140,0,0,0,0,140,140,0
17500000000,0,22307938304,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,144,144,0,0,0,0,145,144,1
18000000000,0,22421184512,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,146,146,0,0,0,0,150,146,4
18500000000,0,22656065536,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,150,150,0,0,0,0,153,150,3
19000000000,0,23358611456,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,162,162,0,0,0,0,164,162,2
19500000000,0,23404748800,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,164,164,0,0,0,0,165,164,1
20000000000,0,23595589632,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,163,163,0,0,0,0,165,163,2
20500000000,0,24277164032,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,171,171,0,0,0,0,171,171,0
21000000000,0,24270872576,27446379693,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,170,170,0,0,0,0,170,170,0
