sim_time_ns,instance_id,policy,event_type,reason,npu_used_bytes,npu_kv_bytes,kv_capacity_bytes,cpu_used_bytes,cxl_used_bytes,reserve_bytes,forecast_bytes,pressure,kv_pressure,trigger,target,active_decode_requests,resident_decode_requests,request_id,request_input_tokens,request_generated_tokens,raw_bytes,stored_bytes,storage_tier,score,utility,selected_requests,deferred_requests
46196182669,0,oracle_reserve_lru,trigger,forecast_above_trigger,30063206400,14002683904,14520890192,0,0,536870912,30600077312,1.0006103257619399,1.0012853636211838,1.0,0.98,268,268,-1,0,0,0,0,,0.0,0.0,268,0
46196182669,0,oracle_reserve_lru,spill,proactive_target_headroom,29973028864,13912506368,14520890192,90177536,0,534773760,30507802624,0.9975929802605592,0.9949307471493343,1.0,0.98,268,267,30,684,583,90177536,90177536,CPU,46196182669.0,0.0,0,0
46196182669,0,oracle_reserve_lru,spill,proactive_target_headroom,29893337088,13832814592,14520890192,169869312,0,532676608,30426013696,0.9949185149297901,0.9892982461856495,1.0,0.98,268,266,37,602,552,79691776,79691776,CPU,46196182669.0,0.0,0,0
46196182669,0,oracle_reserve_lru,spill,proactive_target_headroom,29727662080,13667139584,14520890192,335544320,0,530579456,30258241536,0.9894324322000072,0.9777443980550142,1.0,0.98,268,265,42,1258,550,165675008,165675008,CPU,46196182669.0,0.0,0,0
46333218601,0,oracle_reserve_lru,admission,value_ranked_working_set,29662650368,13602127872,14520890192,335544320,0,532676608,30195326976,0.9873751511763387,0.973411705006026,1.0,0.98,269,266,-1,0,0,0,0,,0.0,0.0,1,2
46333218601,0,oracle_reserve_lru,reload,value_ranked_admission,29803159552,13742637056,14520890192,245366784,0,0,29803159552,0.9745514327954711,0.9464045850006659,1.0,0.98,2,0,30,684,583,90177536,90177536,CPU,0.0,0.0,0,0
46538772499,0,oracle_reserve_lru,admission,value_ranked_working_set,29599735808,13539213312,14520890192,245366784,0,532676608,30132412416,0.98531787015267,0.9690790119570377,1.0,0.98,264,262,-1,0,0,0,0,,0.0,0.0,1,1
46538772499,0,oracle_reserve_lru,reload,value_ranked_admission,29727662080,13667139584,14520890192,165675008,0,0,29727662080,0.9720826955670688,0.94120535334188,1.0,0.98,1,0,37,602,552,79691776,79691776,CPU,0.0,0.0,0,0
47200369298,0,oracle_reserve_lru,trigger,forecast_above_trigger,30033846272,13973323776,14520890192,165675008,0,553648128,30587494400,1.0001988695572062,1.0004188250113861,1.0,0.98,273,272,-1,0,0,0,0,,0.0,0.0,273,0
47200369298,0,oracle_reserve_lru,spill,proactive_target_headroom,29845102592,13784580096,14520890192,354418688,0,551550976,30396653568,0.9939584504520781,0.9872763227627883,1.0,0.98,273,271,44,1438,552,188743680,188743680,CPU,47200369298.0,0.0,0,0
