dataset,capacity_pct,policy,throughput_tok_s,mean_latency_s,p95_latency_s,p99_latency_s,spills,movement_gib,reload_gib
sharegpt1000,70,lru,2781.59,53.602396968756985,83.254114413,87.754517205,112,4.904296875,4.904296875
sharegpt1000,70,reserve_lru,3852.04,25.787433260669026,90.196192008,108.790787741,324,21.736328125,21.736328125
sharegpt1000,85,lru,3180.41,40.550054271478,71.377407406,77.760492054,73,3.828125,3.828125
sharegpt1000,85,reserve_lru,4141.85,21.146844256217978,55.109688009,83.976140073,185,14.091796875,14.091796875
sharegpt1000,100,lru,4141.85,19.955990753605995,49.290161793,64.238755443,0,0.0,0.0
sharegpt1000,100,reserve_lru,4141.85,19.971348004095965,50.040816722,65.287387145,42,4.37890625,4.37890625
sharegpt1000,120,lru,4141.85,19.918884987407964,49.259925677,64.238755443,0,0.0,0.0
sharegpt1000,120,reserve_lru,4141.85,19.918884987407964,49.259925677,64.238755443,0,0.0,0.0
fixed512,70,lru,1785.42,119.18323426261331,145.266307768,145.829472594,1,0.04296875,0.04296875
fixed512,70,reserve_lru,3288.57,68.13816602039256,96.813076816,98.472117485,345,21.9453125,21.9453125
fixed512,85,lru,2134.1,97.44757561554486,118.486762758,119.136446192,0,0.0,0.0
fixed512,85,reserve_lru,3456.63,63.68201201403905,91.163003296,92.498630512,307,21.359375,21.359375
fixed512,100,lru,2975.51,67.07582224711132,82.258740023,82.52717876,0,0.0,0.0
fixed512,100,reserve_lru,3512.88,54.2936271683125,79.461675166,81.124709988,193,14.2421875,14.2421875
fixed512,120,lru,3512.88,44.81362510018752,48.817628166,48.953898045,0,0.0,0.0
fixed512,120,reserve_lru,3512.88,44.81362510018752,48.817628166,48.953898045,0,0.0,0.0
