sim_time_ns,instance_id,policy,event_type,reason,npu_used_bytes,npu_kv_bytes,kv_capacity_bytes,cpu_used_bytes,cxl_used_bytes,reserve_bytes,forecast_bytes,pressure,kv_pressure,trigger,target,active_decode_requests,resident_decode_requests,request_id,request_input_tokens,request_generated_tokens,raw_bytes,stored_bytes,storage_tier,score,utility,selected_requests,deferred_requests
40861565053,0,oracle_reserve_lru,trigger,forecast_above_trigger,27978637312,11918114816,12351759908,0,0,463470592,28442107904,1.0010497396715936,1.002414676145112,1.0,0.98,230,230,-1,0,0,0,0,,0.0,0.0,230,0
40861565053,0,oracle_reserve_lru,spill,proactive_target_headroom,27898945536,11838423040,12351759908,79691776,0,461373440,28360318976,0.9981710927949708,0.9957930344835845,1.0,0.98,230,229,14,602,564,79691776,79691776,CPU,40861565053.0,0.0,0,0
40861565053,0,oracle_reserve_lru,spill,proactive_target_headroom,27817156608,11756634112,12351759908,161480704,0,459276288,28276432896,0.995218634459973,0.9890016071384279,1.0,0.98,230,228,28,618,545,81788928,81788928,CPU,40861565053.0,0.0,0,0
40861565053,0,oracle_reserve_lru,spill,proactive_target_headroom,27733270528,11672748032,12351759908,245366784,0,457179136,28190449664,0.9921923646666003,0.9820403941096424,1.0,0.98,230,227,34,626,524,83886080,83886080,CPU,40861565053.0,0.0,0,0
40861565053,0,oracle_reserve_lru,spill,proactive_target_headroom,27559206912,11498684416,12351759908,419430400,0,455081984,28014288896,0.985992202163105,0.9677783966848136,1.0,0.98,230,226,44,1328,500,174063616,174063616,CPU,40861565053.0,0.0,0,0
40861565053,0,oracle_reserve_lru,admission,value_ranked_working_set,27559206912,11498684416,12351759908,419430400,0,455081984,28014288896,0.985992202163105,0.9677783966848136,1.0,0.98,230,226,-1,0,0,0,0,,0.0,0.0,1,3
40861565053,0,oracle_reserve_lru,reload,value_ranked_admission,27884265472,11823742976,12351759908,339738624,0,0,27884265472,0.9814158917438585,0.9572516842998209,1.0,0.98,3,0,14,602,564,79691776,79691776,CPU,0.0,0.0,0,0
41178230584,0,oracle_reserve_lru,admission,value_ranked_working_set,27508875264,11448352768,12351759908,339738624,0,461373440,27970248704,0.9844421615372312,0.9642128973286064,1.0,0.98,229,226,-1,0,0,0,0,,0.0,0.0,2,1
41178230584,0,oracle_reserve_lru,reload,value_ranked_admission,27697618944,11637096448,12351759908,174063616,0,0,27697618944,0.9748466719484885,0.9421407584568474,1.0,0.98,1,0,28,618,545,81788928,81788928,CPU,0.0,0.0,0,0
41178230584,0,oracle_reserve_lru,reload,value_ranked_admission,27697618944,11637096448,12351759908,174063616,0,0,27697618944,0.9748466719484885,0.9421407584568474,1.0,0.98,1,0,34,626,524,83886080,83886080,CPU,0.0,0.0,0,0
41318543458,0,oracle_reserve_lru,admission,value_ranked_working_set,27504680960,11444158464,12351759908,174063616,0,467664896,27972345856,0.9845159729956061,0.9643826830122353,1.0,0.98,228,227,-1,0,0,0,0,,0.0,0.0,1,0
41318543458,0,oracle_reserve_lru,reload,value_ranked_admission,27844419584,11783897088,12351759908,0,0,0,27844419584,0.9800134740347346,0.9540257563108715,1.0,0.98,0,0,44,1328,500,174063616,174063616,CPU,0.0,0.0,0,0
41458516612,0,oracle_reserve_lru,trigger,forecast_above_trigger,28033163264,11972640768,12351759908,0,0,473956352,28507119616,1.0033378948812168,1.0076780323376084,1.0,0.98,231,231,-1,0,0,0,0,,0.0,0.0,231,0
