sim_time_ns,instance_id,policy,event_type,reason,npu_used_bytes,npu_kv_bytes,kv_capacity_bytes,cpu_used_bytes,cxl_used_bytes,reserve_bytes,forecast_bytes,pressure,kv_pressure,trigger,target,active_decode_requests,resident_decode_requests,request_id,request_input_tokens,request_generated_tokens,raw_bytes,stored_bytes,storage_tier,score,utility,selected_requests,deferred_requests
44910654428,0,oracle_reserve_lru,trigger,forecast_above_trigger,18799403008,2738880512,2815858769,0,0,140509184,18939912192,1.00336563063164,1.0225618300532031,1.0,0.96,69,69,-1,0,0,0,0,,0.0,0.0,69,0
44910654428,0,oracle_reserve_lru,spill,proactive_target_headroom,18715516928,2654994432,2815858769,83886080,0,138412032,18853928960,0.9988105609499618,0.9920264804303471,1.0,0.96,69,68,1,633,630,83886080,83886080,CPU,44910654428.0,0.0,0,0
44910654428,0,oracle_reserve_lru,spill,proactive_target_headroom,18629533696,2569011200,2815858769,169869312,0,136314880,18765848576,0.9941443920077548,0.9607463661825434,1.0,0.96,69,67,29,645,572,85983232,85983232,CPU,44910654428.0,0.0,0,0
44910654428,0,oracle_reserve_lru,spill,proactive_target_headroom,18591784960,2531262464,2815858769,207618048,0,134217728,18726002688,0.9920335060577089,0.946595838308537,1.0,0.96,69,66,52,287,258,37748736,37748736,CPU,44910654428.0,0.0,0,0
46711770535,0,oracle_reserve_lru,admission,value_ranked_working_set,18541453312,2480930816,2815858769,207618048,0,130023424,18671476736,0.9891449252839617,0.9272319580598966,1.0,0.96,65,62,-1,0,0,0,0,,0.0,0.0,1,2
46711770535,0,oracle_reserve_lru,reload,value_ranked_admission,18627436544,2566914048,2815858769,123731968,0,0,18627436544,0.9868118408128582,0.9115919009359947,1.0,0.96,2,0,1,633,630,83886080,83886080,CPU,0.0,0.0,0,0
49290792434,0,oracle_reserve_lru,trigger,forecast_above_trigger,18759557120,2699034624,2815858769,123731968,0,123731968,18883289088,1.000365950597364,1.002453185179615,1.0,0.96,63,61,-1,0,0,0,0,,0.0,0.0,63,0
49290792434,0,oracle_reserve_lru,spill,proactive_target_headroom,18713419776,2652897280,2815858769,169869312,0,121634816,18835054592,0.9978106676052032,0.9853235988058178,1.0,0.96,63,60,54,338,301,46137344,46137344,CPU,49290792434.0,0.0,0,0
49290792434,0,oracle_reserve_lru,spill,proactive_target_headroom,18671476736,2610954240,2815858769,211812352,0,119537664,18791014400,0.9954775831340997,0.969683541681916,1.0,0.96,63,59,56,312,295,41943040,41943040,CPU,49290792434.0,0.0,0,0
49290792434,0,oracle_reserve_lru,spill,proactive_target_headroom,18629533696,2569011200,2815858769,253755392,0,117440512,18746974208,0.9931444986629963,0.954043484558014,1.0,0.96,63,58,59,320,295,41943040,41943040,CPU,49290792434.0,0.0,0,0
50246950137,0,oracle_reserve_lru,admission,value_ranked_working_set,18602270720,2541748224,2815858769,253755392,0,115343360,18717614080,0.9915891090155939,0.9436167798087461,1.0,0.96,61,56,-1,0,0,0,0,,0.0,0.0,1,4
50246950137,0,oracle_reserve_lru,reload,value_ranked_admission,18644213760,2583691264,2815858769,211812352,0,0,18644213760,0.9877006348970881,0.9175500179355763,1.0,0.96,4,0,56,312,295,41943040,41943040,CPU,0.0,0.0,0,0
50659685462,0,oracle_reserve_lru,admission,value_ranked_working_set,18522578944,2462056448,2815858769,211812352,0,115343360,18637922304,0.987367337115502,0.9153157240607332,1.0,0.96,60,56,-1,0,0,0,0,,0.0,0.0,2,2
50659685462,0,oracle_reserve_lru,reload,value_ranked_admission,18619047936,2558525440,2815858769,123731968,0,0,18619047936,0.9863674437707433,0.9086128424362039,1.0,0.96,2,0,54,338,301,46137344,46137344,CPU,0.0,0.0,0,0
50659685462,0,oracle_reserve_lru,reload,value_ranked_admission,18619047936,2558525440,2815858769,123731968,0,0,18619047936,0.9863674437707433,0.9086128424362039,1.0,0.96,2,0,59,320,295,41943040,41943040,CPU,0.0,0.0,0,0
52282830405,0,oracle_reserve_lru,admission,value_ranked_working_set,18560327680,2499805184,2815858769,123731968,0,113246208,18673573888,0.9892560245444905,0.9279767226848443,1.0,0.96,57,55,-1,0,0,0,0,,0.0,0.0,1,1
52282830405,0,oracle_reserve_lru,reload,value_ranked_admission,18654699520,2594177024,2815858769,37748736,0,0,18654699520,0.9882561311997319,0.921273841060315,1.0,0.96,1,0,29,645,572,85983232,85983232,CPU,0.0,0.0,0,0
53824751762,0,oracle_reserve_lru,admission,value_ranked_working_set,18591784960,2531262464,2815858769,37748736,0,102760448,18694545408,0.9903670171497778,0.9354243689343213,1.0,0.96,52,51,-1,0,0,0,0,,0.0,0.0,1,0
53824751762,0,oracle_reserve_lru,reload,value_ranked_admission,18633728000,2573205504,2815858769,0,0,0,18633728000,0.9871451385944444,0.9138261948108378,1.0,0.96,0,0,52,287,258,37748736,37748736,CPU,0.0,0.0,0,0
61422460726,0,oracle_reserve_lru,trigger,forecast_above_trigger,18786820096,2726297600,2815858769,0,0,98566144,18885386240,1.000477049857893,1.003197949804563,1.0,0.96,49,49,-1,0,0,0,0,,0.0,0.0,49,0
61422460726,0,oracle_reserve_lru,spill,proactive_target_headroom,18730196992,2669674496,2815858769,56623104,0,96468992,18826665984,0.9973662705630882,0.982344540306027,1.0,0.96,49,48,63,428,413,56623104,56623104,CPU,61422460726.0,0.0,0,0
61422460726,0,oracle_reserve_lru,spill,proactive_target_headroom,18616950784,2556428288,2815858769,169869312,0,94371840,18711322624,0.9912558112340077,0.9413824859339031,1.0,0.96,49,47,64,855,412,113246208,113246208,CPU,61422460726.0,0.0,0,0
61666903350,0,oracle_reserve_lru,trigger,forecast_above_trigger,18853928960,2793406464,2815858769,169869312,0,98566144,18952495104,1.0040322261948125,1.0270304178028895,1.0,0.96,51,49,-1,0,0,0,0,,0.0,0.0,51,0
61666903350,0,oracle_reserve_lru,spill,proactive_target_headroom,18799403008,2738880512,2815858769,224395264,0,96468992,18895872000,1.0010325461605365,1.0069217729293014,1.0,0.96,51,48,77,407,398,54525952,54525952,CPU,61666903350.0,0.0,0,0
61666903350,0,oracle_reserve_lru,spill,proactive_target_headroom,18746974208,2686451712,2815858769,276824064,0,94371840,18841346048,0.9981439653867894,0.987557892680661,1.0,0.96,51,47,91,391,379,52428800,52428800,CPU,61666903350.0,0.0,0,0
61666903350,0,oracle_reserve_lru,spill,proactive_target_headroom,18694545408,2634022912,2815858769,329252864,0,92274688,18786820096,0.9952553846130423,0.9681940124320205,1.0,0.96,51,46,95,386,370,52428800,52428800,CPU,61666903350.0,0.0,0,0
61666903350,0,oracle_reserve_lru,spill,proactive_target_headroom,18635825152,2575302656,2815858769,387973120,0,90177536,18726002688,0.9920335060577089,0.946595838308537,1.0,0.96,51,45,98,434,367,58720256,58720256,CPU,61666903350.0,0.0,0,0
61736720067,0,oracle_reserve_lru,trigger,forecast_above_trigger,18872803328,2812280832,2815858769,387973120,0,102760448,18975563776,1.0052543180606286,1.0352228286773142,1.0,0.96,57,51,-1,0,0,0,0,,0.0,0.0,57,0
61736720067,0,oracle_reserve_lru,spill,proactive_target_headroom,18841346048,2780823552,2815858769,419430400,0,100663296,18942009344,1.0034767298921687,1.023306594678151,1.0,0.96,57,50,103,239,213,31457280,31457280,CPU,61736720067.0,0.0,0,0
61736720067,0,oracle_reserve_lru,spill,proactive_target_headroom,18805694464,2745171968,2815858769,455081984,0,98566144,18904260608,1.0014769432026516,1.0099008314290923,1.0,0.96,57,49,104,263,213,35651584,35651584,CPU,61736720067.0,0.0,0,0
61736720067,0,oracle_reserve_lru,spill,proactive_target_headroom,18742779904,2682257408,2815858769,517996544,0,96468992,18839248896,0.9980328661262606,0.9868131280557132,1.0,0.96,57,48,105,472,212,62914560,62914560,CPU,61736720067.0,0.0,0,0
61736720067,0,oracle_reserve_lru,spill,proactive_target_headroom,18709225472,2648702976,2815858769,551550976,0,94371840,18803597312,0.9961441786972721,0.9741521294316022,1.0,0.96,57,47,106,247,209,33554432,33554432,CPU,61736720067.0,0.0,0,0
61736720067,0,oracle_reserve_lru,spill,proactive_target_headroom,18671476736,2610954240,2815858769,589299712,0,92274688,18763751424,0.9940332927472262,0.9600016015575957,1.0,0.96,57,46,108,282,209,37748736,37748736,CPU,61736720067.0,0.0,0,0
61736720067,0,oracle_reserve_lru,spill,proactive_target_headroom,18642116608,2581594112,2815858769,618659840,0,92274688,18734391296,0.9924779030998239,0.9495748968083279,1.0,0.96,57,45,111,215,208,29360128,29360128,CPU,61736720067.0,0.0,0,0
61951649569,0,oracle_reserve_lru,trigger,forecast_above_trigger,18824568832,2764046336,2815858769,618659840,0,104857600,18929426432,1.0028101343289963,1.0188380069284646,1.0,0.96,63,51,-1,0,0,0,0,,0.0,0.0,63,0
