sim_time_ns,instance_id,policy,event_type,reason,npu_used_bytes,npu_kv_bytes,kv_capacity_bytes,cpu_used_bytes,cxl_used_bytes,reserve_bytes,forecast_bytes,pressure,kv_pressure,trigger,target,active_decode_requests,resident_decode_requests,request_id,request_input_tokens,request_generated_tokens,raw_bytes,stored_bytes,storage_tier,score,utility,selected_requests,deferred_requests
61951649569,0,oracle_reserve_lru,trigger,forecast_above_trigger,19415965696,3355443200,3417154191,0,0,125829120,19541794816,1.003291877672597,1.0187636042789268,1.0,1.0,62,62,-1,0,0,0,0,,0.0,0.0,62,0
61951649569,0,oracle_reserve_lru,spill,proactive_target_headroom,19306913792,3246391296,3417154191,109051904,0,123731968,19430645760,0.9975853933836272,0.9862368145037562,1.0,1.0,62,61,29,820,747,109051904,109051904,CPU,61951649569.0,0.0,0,0
62033580441,0,oracle_reserve_lru,trigger,forecast_above_trigger,19390799872,3330277376,3417154191,109051904,0,127926272,19518726144,1.0021075130088486,1.0120127611180423,1.0,1.0,63,62,-1,0,0,0,0,,0.0,0.0,63,0
62033580441,0,oracle_reserve_lru,spill,proactive_target_headroom,19327885312,3267362816,3417154191,171966464,0,127926272,19455811584,0.9988774275622619,0.9936013706792665,1.0,1.0,63,61,54,468,431,62914560,62914560,CPU,62033580441.0,0.0,0,0
62200115797,0,oracle_reserve_lru,trigger,forecast_above_trigger,19409674240,3349151744,3417154191,171966464,0,130023424,19539697664,1.003184208157711,1.0181498912643008,1.0,1.0,65,63,-1,0,0,0,0,,0.0,0.0,65,0
62200115797,0,oracle_reserve_lru,spill,proactive_target_headroom,19348856832,3288334336,3417154191,232783872,0,127926272,19476783104,0.9999541227111242,0.9997385008255251,1.0,1.0,65,62,59,452,427,60817408,60817408,CPU,62200115797.0,0.0,0,0
62270272234,0,oracle_reserve_lru,trigger,forecast_above_trigger,19397091328,3336568832,3417154191,232783872,0,130023424,19527114752,1.0025381910683935,1.0144676131765458,1.0,1.0,66,63,-1,0,0,0,0,,0.0,0.0,66,0
62270272234,0,oracle_reserve_lru,spill,proactive_target_headroom,19338371072,3277848576,3417154191,291504128,0,127926272,19466297344,0.999415775136693,0.9966699357523958,1.0,1.0,66,62,63,437,422,58720256,58720256,CPU,62270272234.0,0.0,0,0
62340428671,0,oracle_reserve_lru,trigger,forecast_above_trigger,19386605568,3326083072,3417154191,291504128,0,130023424,19516628992,1.0019998434939623,1.0113990481034165,1.0,1.0,67,63,-1,0,0,0,0,,0.0,0.0,67,0
62340428671,0,oracle_reserve_lru,spill,proactive_target_headroom,19271262208,3210739712,3417154191,406847488,0,127926272,19399188480,0.9959703506603339,0.9770311192843683,1.0,1.0,67,62,64,865,422,115343360,115343360,CPU,62340428671.0,0.0,0,0
62340428671,0,oracle_reserve_lru,admission,value_ranked_working_set,19271262208,3210739712,3417154191,406847488,0,127926272,19399188480,0.9959703506603339,0.9770311192843683,1.0,1.0,67,62,-1,0,0,0,0,,0.0,0.0,1,4
62340428671,0,oracle_reserve_lru,reload,value_ranked_admission,19342565376,3282042880,3417154191,348127232,0,0,19342565376,0.9930632737584059,0.96046086788947,1.0,1.0,4,0,63,437,422,58720256,58720256,CPU,0.0,0.0,0,0
62778923417,0,oracle_reserve_lru,trigger,forecast_above_trigger,19470491648,3409969152,3417154191,348127232,0,130023424,19600515072,1.0063066240894114,1.0359475686884507,1.0,1.0,68,64,-1,0,0,0,0,,0.0,0.0,68,0
