capacity_pct,policy,throughput_tok_s,mean_latency_s,p99_latency_s,spills,spill_mb,reload_mb
70,lru,957.66,32.69192558836335,67.269716095,50,2374.0,2374.0
70,reserve_lru,1241.22,19.963487178533338,75.307726966,120,8018.0,8018.0
70,pricekv,1241.22,20.031485382550002,81.912501949,200,7448.0,7448.0
70,oracle_growth,1225.1,25.01113468457669,72.704953777,319,9462.0,9462.0
85,lru,1077.67,25.60017534443666,59.234796191,39,2266.0,2266.0
85,reserve_lru,1241.22,17.806184472123345,65.792484751,62,4076.0,4076.0
85,pricekv,1241.22,17.826018571843345,74.056104523,71,3884.0,3884.0
85,oracle_growth,1241.22,19.276019940936678,55.790312378,142,3770.0,3770.0
100,lru,1241.22,16.67567868816667,54.058585303,0,0.0,0.0
100,reserve_lru,1241.22,16.743444939396674,54.20295555,9,646.0,646.0
100,pricekv,1241.22,16.743444939396674,54.20295555,9,646.0,646.0
100,oracle_growth,1241.22,17.233724887720005,54.03225912,57,1338.0,1338.0
120,lru,1241.22,16.654388517656674,54.03225912,0,0.0,0.0
120,reserve_lru,1241.22,16.654388517656674,54.03225912,0,0.0,0.0
120,pricekv,1241.22,16.654388517656674,54.03225912,0,0.0,0.0
120,oracle_growth,1241.22,16.654388517656674,54.03225912,0,0.0,0.0
