sim_time_ns,instance_id,policy,event_type,reason,npu_used_bytes,npu_kv_bytes,kv_capacity_bytes,cpu_used_bytes,cxl_used_bytes,reserve_bytes,forecast_bytes,pressure,kv_pressure,trigger,target,active_decode_requests,resident_decode_requests,request_id,request_input_tokens,request_generated_tokens,raw_bytes,stored_bytes,storage_tier,score,utility,selected_requests,deferred_requests
61806263284,0,reserve_lru,trigger,forecast_above_trigger,19336273920,3275751424,3417154191,0,0,106954752,19443228672,0.9982314104729446,0.9899190925915113,0.98,0.94,60,60,-1,0,0,0,0,,0.0,0.0,60,0
61806263284,0,reserve_lru,spill,proactive_target_headroom,19227222016,3166699520,3417154191,109051904,0,106954752,19334176768,0.992632595698861,0.9580060158309667,0.98,0.94,60,59,29,818,745,109051904,109051904,CPU,61806263284.0,0.0,0,0
61806263284,0,reserve_lru,spill,proactive_target_headroom,19164307456,3103784960,3417154191,171966464,0,106954752,19271262208,0.9894025102522742,0.9395946253921909,0.98,0.94,60,58,54,465,428,62914560,62914560,CPU,61806263284.0,0.0,0,0
62033580441,0,reserve_lru,trigger,forecast_above_trigger,19327885312,3267362816,3417154191,171966464,0,113246208,19441131520,0.9981237409580583,0.9893053795768855,0.98,0.94,63,61,-1,0,0,0,0,,0.0,0.0,63,0
62033580441,0,reserve_lru,spill,proactive_target_headroom,19267067904,3206545408,3417154191,232783872,0,113246208,19380314112,0.9950013250263579,0.9715077021527355,0.98,0.94,63,60,59,450,425,60817408,60817408,CPU,62033580441.0,0.0,0,0
62033580441,0,reserve_lru,spill,proactive_target_headroom,19208347648,3147825152,3417154191,291504128,0,113246208,19321593856,0.9919865786095435,0.9543237377432114,0.98,0.94,63,59,63,434,419,58720256,58720256,CPU,62033580441.0,0.0,0,0
62033580441,0,reserve_lru,spill,proactive_target_headroom,19095101440,3034578944,3417154191,404750336,0,113246208,19208347648,0.9861724248056875,0.921183234953415,0.98,0.94,63,58,64,861,418,113246208,113246208,CPU,62033580441.0,0.0,0,0
62033580441,0,reserve_lru,admission,value_ranked_working_set,19095101440,3034578944,3417154191,404750336,0,113246208,19208347648,0.9861724248056875,0.921183234953415,0.98,0.94,63,58,-1,0,0,0,0,,0.0,0.0,1,4
62033580441,0,reserve_lru,reload,value_ranked_admission,19158016000,3097493504,3417154191,343932928,0,0,19158016000,0.9835883564484181,0.9064541226023944,0.98,0.94,4,0,59,450,425,60817408,60817408,CPU,0.0,0.0,0,0
62340428671,0,reserve_lru,trigger,forecast_above_trigger,19332079616,3271557120,3417154191,343932928,0,121634816,19453714432,0.9987697580473757,0.9929876576646406,0.98,0.94,67,63,-1,0,0,0,0,,0.0,0.0,67,0
62340428671,0,reserve_lru,spill,proactive_target_headroom,19277553664,3217031168,3417154191,398458880,0,121634816,19399188480,0.9959703506603339,0.9770311192843683,0.98,0.94,67,62,77,416,407,54525952,54525952,CPU,62340428671.0,0.0,0,0
62340428671,0,reserve_lru,spill,proactive_target_headroom,19225124864,3164602368,3417154191,450887680,0,121634816,19346759680,0.9932786127881783,0.9616882939187218,0.98,0.94,67,61,91,400,388,52428800,52428800,CPU,62340428671.0,0.0,0,0
62340428671,0,reserve_lru,spill,proactive_target_headroom,19172696064,3112173568,3417154191,503316480,0,121634816,19294330880,0.9905868749160227,0.9463454685530753,0.98,0.94,67,60,95,395,379,52428800,52428800,CPU,62340428671.0,0.0,0,0
62340428671,0,reserve_lru,spill,proactive_target_headroom,19113975808,3053453312,3417154191,562036736,0,121634816,19235610624,0.9875721284992084,0.9291615041435513,0.98,0.94,67,59,98,443,376,58720256,58720256,CPU,62340428671.0,0.0,0,0
63002887047,0,reserve_lru,trigger,forecast_above_trigger,19292233728,3231711232,3417154191,562036736,0,130023424,19422257152,0.9971547153240823,0.9837819624452527,0.98,0.94,71,63,-1,0,0,0,0,,0.0,0.0,71,0
63002887047,0,reserve_lru,spill,proactive_target_headroom,19258679296,3198156800,3417154191,595591168,0,127926272,19386605568,0.9953243335710166,0.9733488411966131,0.98,0.94,71,62,103,253,227,33554432,33554432,CPU,63002887047.0,0.0,0,0
63002887047,0,reserve_lru,spill,proactive_target_headroom,19220930560,3160408064,3417154191,633339904,0,125829120,19346759680,0.9932786127881783,0.9616882939187218,0.98,0.94,71,61,104,277,227,37748736,37748736,CPU,63002887047.0,0.0,0,0
63002887047,0,reserve_lru,spill,proactive_target_headroom,19155918848,3095396352,3417154191,698351616,0,123731968,19279650816,0.9898331883118191,0.9420494774506943,0.98,0.94,71,60,105,486,226,65011712,65011712,CPU,63002887047.0,0.0,0,0
63002887047,0,reserve_lru,spill,proactive_target_headroom,19120267264,3059744768,3417154191,734003200,0,121634816,19241902080,0.9878951370438671,0.9310026431874289,0.98,0.94,71,59,106,261,223,35651584,35651584,CPU,63002887047.0,0.0,0,0
63811025973,0,reserve_lru,trigger,forecast_above_trigger,19359342592,3298820096,3417154191,734003200,0,136314880,19495657472,1.0009231483451002,1.0052619179571578,0.98,0.94,78,66,-1,0,0,0,0,,0.0,0.0,78,0
