sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate,active_decode_requests,resident_decode_requests,evicted_decode_requests,eligible_queue_requests,policy_deferred_requests,capacity_blocked_requests,last_batch_size,last_decode_batch_size,last_prefill_batch_size
500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
1000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
1500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
2000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
2500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
3000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
3500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
4000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
4500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
5000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
5500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
6000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
6500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
7000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
7500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
8000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
8500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
9000000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
9500000000,0,16094076928,16129749680,0,137438953472,0,0,256,0,256,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
10000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,256,256,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
10500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
11000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
11500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
12000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
12500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
13000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
13500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
14000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
14500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
15000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
15500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
16000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
16500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
17000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
17500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
18000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
18500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
19000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
19500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
20000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,256,256,256,0,256,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
20500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
21000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
21500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
22000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
22500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
23000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
23500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
24000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
24500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
25000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
25500000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
26000000000,0,16127631360,16129749680,0,137438953472,0,0,512,0,512,0,256,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000,0,0,0,0,0,0,0,0,0
