sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16714833920,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16903577600,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17012629504,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1746927616,1746927616,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17138458624,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5641338880,5641338880,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17174110208,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,7377780736,7377780736,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17117487104,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,13014925312,13014925312,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17176207360,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,17114857472,17114857472,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17178304512,17179869184,8388608,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,20338180096,20329791488,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17163624448,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,23351787520,23330816000,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17169915904,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,26048724992,26027753472,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17125875712,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,29383196672,29307699200,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17134264320,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,32377929728,32302432256,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17144750080,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,36408655872,36333158400,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17159430144,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,40921726976,40846229504,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17163624448,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,42574282752,42498785280,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17163624448,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,42907729920,42832232448,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17172013056,17179869184,75497472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,45269123072,45193625600,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17165721600,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,49912217600,49891246080,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17176207360,17179869184,20971520,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,54347694080,54326722560,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17125875712,17179869184,79691776,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,57097060352,57017368576,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17153138688,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,60662218752,60662218752,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17172013056,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,61943578624,61943578624,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17161527296,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,66142076928,66142076928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17167818752,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,67777855488,67777855488,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17092321280,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,71783415808,71783415808,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17113292800,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,74054631424,74054631424,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,76854329344,76854329344,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17033601024,17179869184,150994944,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,78307655680,78156660736,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17037795328,17179869184,150994944,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,80329310208,80178315264,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17044086784,17179869184,150994944,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,81870716928,81719721984,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17169915904,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,84926267392,84926267392,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17178304512,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,85729476608,85729476608,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17029406720,17179869184,150994944,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,86327164928,86176169984,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17140555776,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,87900028928,87900028928,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17165721600,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,90078969856,90078969856,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17172013056,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,90812973056,90812973056,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17155235840,17179869184,25165824,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,93426024448,93400858624,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17151041536,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,96424951808,96393494528,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17159430144,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,99098820608,99067363328,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17165721600,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,100803805184,100772347904,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17167818752,17179869184,31457280,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,101841895424,101810438144,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
