sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16714833920,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16903577600,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,16846954496,17179869184,146800640,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,146800640,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,16983269376,17179869184,394264576,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,394264576,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,16794525696,17179869184,599785472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,599785472,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,16727416832,17179869184,599785472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,599785472,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,16878411776,17179869184,599785472,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,599785472,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,16790331392,17179869184,880803840,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,880803840,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,16754679808,17179869184,1103101952,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1103101952,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,16750485504,17179869184,1474297856,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1474297856,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,16830177280,17179869184,1474297856,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1474297856,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,16920354816,17179869184,1474297856,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1474297856,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,16836468736,17179869184,1633681408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1633681408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,16872120320,17179869184,1633681408,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1633681408,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,16991657984,17179869184,2032140288,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2032140288,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,16886800384,17179869184,2292187136,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2292187136,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,16930840576,17179869184,2292187136,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2292187136,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,16964395008,17179869184,2292187136,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2292187136,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,16763068416,17179869184,2529165312,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2529165312,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,16897286144,17179869184,2529165312,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2529165312,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,16760971264,17179869184,2743074816,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,2743074816,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,16763068416,17179869184,3036676096,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3036676096,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,16905674752,17179869184,3036676096,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3036676096,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,16788234240,17179869184,3267362816,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3267362816,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,16819691520,17179869184,3267362816,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3267362816,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,16788234240,17179869184,3477078016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3477078016,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,16928743424,17179869184,3477078016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3477078016,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,16846954496,17179869184,3726639104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3726639104,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17104904192,17179869184,3726639104,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3726639104,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,16819691520,17179869184,4037017600,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4037017600,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17073446912,17179869184,4229955584,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4229955584,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,16935034880,17179869184,4483710976,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4483710976,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,16819691520,17179869184,4714397696,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4714397696,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,16853245952,17179869184,4714397696,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4714397696,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,16947617792,17179869184,4922015744,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4922015744,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,16742096896,17179869184,5385486336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5385486336,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,16817594368,17179869184,5385486336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5385486336,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,16853245952,17179869184,5385486336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5385486336,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17029406720,17179869184,5385486336,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5385486336,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,16834371584,17179869184,5978980352,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5978980352,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,16840663040,17179869184,5978980352,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5978980352,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,16870023168,17179869184,5978980352,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,5978980352,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
