sim_time_ns,instance_id,npu_used_bytes,npu_total_bytes,cpu_used_bytes,cpu_total_bytes,cxl_used_bytes,cxl_total_bytes,npu_prefix_tokens,storage_prefix_tokens,evictable_tokens,protected_tokens,npu_hit_total,storage_hit_total,npu_hit_interval,storage_hit_interval,npu_hit_rate_interval,prompt_throughput,gen_throughput,evict_npu_to_cpu_bytes_total,load_cpu_to_npu_bytes_total,evict_npu_to_cxl_bytes_total,load_cxl_to_npu_bytes_total,evict_npu_prefix_bytes_total,evict_storage_prefix_bytes_total,prefix_load_storage_to_npu_bytes_total,harp_hot_reqs,harp_shadow_reqs,harp_cold_reqs,harp_prefetch_remaining_bytes,harp_prefetch_overlap_ratio,harp_stall_time_ns_total,harp_shadow_hit_rate
500000000,0,16073105408,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1000000000,0,16228294656,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
1500000000,0,16349929472,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2000000000,0,16618364928,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
2500000000,0,16714833920,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3000000000,0,16903577600,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
3500000000,0,17012629504,17179869184,0,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4000000000,0,17092321280,17179869184,174063616,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,174063616,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
4500000000,0,17109098496,17179869184,174063616,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,174063616,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5000000000,0,17069252608,17179869184,331350016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,331350016,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
5500000000,0,17098612736,17179869184,331350016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,331350016,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6000000000,0,17121681408,17179869184,331350016,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,331350016,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
6500000000,0,17083932672,17179869184,387973120,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7000000000,0,17094418432,17179869184,387973120,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
7500000000,0,17044086784,17179869184,387973120,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8000000000,0,17054572544,17179869184,387973120,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,387973120,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
8500000000,0,17075544064,17179869184,494927872,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,494927872,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9000000000,0,17096515584,17179869184,494927872,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,494927872,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
9500000000,0,17125875712,17179869184,494927872,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,494927872,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10000000000,0,17086029824,17179869184,536870912,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,536870912,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
10500000000,0,17096515584,17179869184,536870912,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,536870912,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11000000000,0,17121681408,17179869184,618659840,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,618659840,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
11500000000,0,17140555776,17179869184,618659840,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,618659840,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12000000000,0,17151041536,17179869184,618659840,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,618659840,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
12500000000,0,17027309568,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13000000000,0,17033601024,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
13500000000,0,17048281088,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14000000000,0,17054572544,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
14500000000,0,17071349760,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15000000000,0,17079738368,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
15500000000,0,17090224128,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16000000000,0,17096515584,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
16500000000,0,17052475392,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17000000000,0,17058766848,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
17500000000,0,17067155456,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18000000000,0,17069252608,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
18500000000,0,17071349760,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19000000000,0,17083932672,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
19500000000,0,17088126976,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20000000000,0,17088126976,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
20500000000,0,17100709888,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21000000000,0,17107001344,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
21500000000,0,17117487104,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22000000000,0,17121681408,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
22500000000,0,17123778560,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23000000000,0,16991657984,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
23500000000,0,17125875712,17179869184,689963008,549755813888,0,0,0,0,0,0,0,0,0,0,0.00,0,0,689963008,0,0,0,0,0,0,0,0,0,0,0.000000,0,0.000000
