accelerator,model,tier,policy,workload,status,mean_ttft_ms,mean_tpot_ms,mean_latency_ms,p99_ttft_ms,p99_tpot_ms,num_requests,generated_tokens_total,mean_stall_ms_per_request,shadow_hit_rate,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evicpress_compression_events,evicpress_compressed_bytes_saved,evicpress_ratio_sum,harp_prefetch_bytes_total,harp_prefetch_bytes_progress,harp_prefetch_overlap_bytes,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens_total,harp_shadow_ratio_sum,harp_shadow_ratio_events,tier_transition_bytes_total,tier_transition_mb_total,evicpress_avg_ratio,stall_overlap_ratio,harp_avg_shadow_ratio,transition_mb_per_generated_token
A6000,llama8b,cpu_dram,tail,fixed_256,ok,92344.40771678125,49.924898296875,117856.0310110039,196257.4316364,89.82116979999996,256.0,131072.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125
A6000,llama8b,cpu_dram,fifo,fixed_256,ok,683464.1668407149,530.3891888124999,954493.0425844531,1528609.2260525997,714.3222360999999,256.0,131072.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875
A6000,llama8b,cpu_dram,lru,fixed_256,ok,95111.87557078125,60.633638999999995,126095.66534074218,213187.97026354994,92.46365984999997,256.0,131072.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125
A6000,llama8b,cpu_dram,largest_kv,fixed_256,ok,557926.0807774687,345.74694491796873,734602.7698862851,1198009.40911675,603.63818235,256.0,131072.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125
A6000,llama8b,cpu_dram,smallest_kv,fixed_256,ok,90501.2098391328,52.43648880859375,117296.25588385937,190003.01364025,90.53984089999996,256.0,131072.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125
A6000,llama8b,cpu_dram,random,fixed_256,ok,115753.51996804297,69.38535185546874,151209.43501001562,246448.09900435,120.16644519999997,256.0,131072.0,0.0,0.0,10234101760.0,0.0,10234101760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20468203520.0,19520.0,1.0,0.0,1.0,0.14892578125
A6000,llama8b,cpu_dram,evicpress,fixed_256,ok,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875
A6000,llama8b,cxl,tail,fixed_256,ok,92398.98094586328,49.947796515625,117922.30521873046,196357.1513414,89.88367519999996,256.0,131072.0,0.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125
A6000,llama8b,cxl,fifo,fixed_256,ok,683682.211432078,530.5593968281249,954798.0634667656,1529101.50688775,714.5505637499999,256.0,131072.0,0.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875
A6000,llama8b,cxl,lru,fixed_256,ok,95182.93613251172,60.673938625,126187.31903760937,213353.21908774995,92.52901554999998,256.0,131072.0,0.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125
A6000,llama8b,cxl,largest_kv,fixed_256,ok,558182.3437045116,345.91166899999996,734943.2068307226,1198590.9842213998,603.8745917499999,256.0,131072.0,0.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125
A6000,llama8b,cxl,smallest_kv,fixed_256,ok,90560.32113064453,52.4653361015625,117370.10812078515,190122.80707225,90.60192719999995,256.0,131072.0,0.0,0.0,0.0,5825888256.0,0.0,5825888256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11651776512.0,11112.0,1.0,0.0,1.0,0.08477783203125
A6000,llama8b,cxl,random,fixed_256,ok,110912.25578721483,63.546799152343745,143384.67039202343,232348.47368435,112.05432244999999,256.0,131072.0,0.0,0.0,0.0,9187622912.0,0.0,9187622912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18375245824.0,17524.0,1.0,0.0,1.0,0.133697509765625
A6000,llama8b,cxl,evicpress,fixed_256,ok,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875
A6000,llama8b,pcie_nvme,tail,fixed_256,ok,93157.69470089843,50.26635326953125,118843.8014875625,197744.68354839997,90.75109274999997,256.0,131072.0,0.0,0.0,0.0,4649385984.0,0.0,4649385984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9298771968.0,8868.0,1.0,0.0,1.0,0.067657470703125
