accelerator,model,tier,policy,workload,cluster_config,dataset,returncode,status,output_dir,result_csv,timeseries_csv,tier_stats_json,stdout_log,evicpress_alpha,evicpress_ratios,harp_grace_candidates,harp_ratios,harp_lambda_stall,harp_lambda_quality,harp_lambda_fairness,harp_fairness_epsilon,harp_compression_profile,harp_compression_trace
A6000,llama8b,cpu_dram,tail,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/tail/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/tail/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/tail/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/tail/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/tail/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cpu_dram,fifo,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/fifo/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/fifo/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/fifo/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/fifo/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/fifo/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cpu_dram,lru,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/lru/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/lru/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/lru/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/lru/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/lru/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cpu_dram,largest_kv,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/largest_kv/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/largest_kv/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/largest_kv/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/largest_kv/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/largest_kv/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cpu_dram,smallest_kv,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/smallest_kv/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/smallest_kv/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/smallest_kv/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/smallest_kv/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/smallest_kv/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cpu_dram,random,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/random/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/random/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/random/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/random/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/random/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cpu_dram,evicpress,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/evicpress/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/evicpress/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/evicpress/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/evicpress/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/evicpress/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cxl,tail,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cxl__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/tail/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/tail/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/tail/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/tail/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/tail/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cxl,fifo,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cxl__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/fifo/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/fifo/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/fifo/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/fifo/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/fifo/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,llama8b,cxl,lru,fixed_256,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cxl__A6000.json,dataset/fixed_in128_out512_req256_rate10.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/lru/fixed_256,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/lru/fixed_256/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/lru/fixed_256/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/lru/fixed_256/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cxl/lru/fixed_256/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
