instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit
0,8,meta-llama/Llama-3.1-70B,12,52,903845068,1793899083,890054015,20067614,41338486,21761936,"[20366546, 20366546, 20366546, 20366546, 20366546, 22012180, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 22089861, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 22625631, 21545764, 33464442, 31275761, 29892686, 21008913, 21008913, 28700077, 21110497]",0,0,0
0,11,meta-llama/Llama-3.1-70B,31,68,1379405751,2281982936,902577185,17729001,39818862,23965508,"[20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 22625631, 21545764, 33464442, 31275761, 29892686, 21008913, 21008913, 28700077, 21110497, 22514480, 21110497, 22368837, 21197006, 21197006, 21197006, 22049530, 34797098, 47405617, 25457273, 21440799, 27396605, 21519026, 21519026, 21519026, 21519026, 21519026, 21519026, 22052053, 28785890]",0,0,0
0,25,meta-llama/Llama-3.1-70B,4,28,2228417547,2786069599,557652052,2727446,24779499,23168371,"[28785890, 21523565, 21523565, 23029726, 21565930, 21565930, 21565930, 22227195, 22585261, 21626700, 21626700, 21626700, 22594147, 45179239, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675]",0,0,0
0,1,meta-llama/Llama-3.1-70B,19,138,347938951,3026635346,2678696395,11647231,32918143,22421849,"[20278306, 20278306, 20278306, 20278306, 20278306, 23533629, 20524563, 20524563, 20524563, 20524563, 41288476, 21720099, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 22437038, 20913325, 20913325, 20913325, 20913325, 21270872, 20366546, 20366546, 20366546, 20366546, 20366546, 22012180, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 22089861, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 22625631, 21545764, 33464442, 31275761, 29892686, 21008913, 21008913, 28700077, 21110497, 22514480, 21110497, 22368837, 21197006, 21197006, 21197006, 22049530, 34797098, 47405617, 25457273, 21440799, 27396605, 21519026, 21519026, 21519026, 21519026, 21519026, 21519026, 22052053, 28785890, 21523565, 21523565, 23029726, 21565930, 21565930, 21565930, 22227195, 22585261, 21626700, 21626700, 21626700, 22594147, 45179239, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 23199471, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675]",0,0,0
0,6,meta-llama/Llama-3.1-70B,21,134,610813767,3156718448,2545904681,18355214,40075313,22373476,"[20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 22437038, 20913325, 20913325, 20913325, 20913325, 21270872, 20366546, 20366546, 20366546, 20366546, 20366546, 22012180, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 22089861, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 22625631, 21545764, 33464442, 31275761, 29892686, 21008913, 21008913, 28700077, 21110497, 22514480, 21110497, 22368837, 21197006, 21197006, 21197006, 22049530, 34797098, 47405617, 25457273, 21440799, 27396605, 21519026, 21519026, 21519026, 21519026, 21519026, 21519026, 22052053, 28785890, 21523565, 21523565, 23029726, 21565930, 21565930, 21565930, 22227195, 22585261, 21626700, 21626700, 21626700, 22594147, 45179239, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 23199471, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 21680517, 21680517, 21680517]",0,0,0
0,28,meta-llama/Llama-3.1-70B,7,43,2412644520,3291272310,878627790,113062,22340257,24465358,"[22585261, 21626700, 21626700, 21626700, 22594147, 45179239, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 23199471, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 21680517, 21680517, 21680517, 21693226, 91178679, 21681957]",0,0,0
0,2,meta-llama/Llama-3.1-70B,91,216,479613520,3356356548,2876743028,2635104,26168733,22988502,"[20524563, 20524563, 20524563, 20524563, 41288476, 21720099, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 20866658, 22437038, 20913325, 20913325, 20913325, 20913325, 21270872, 20366546, 20366546, 20366546, 20366546, 20366546, 22012180, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 20506643, 22089861, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 20577398, 22625631, 21545764, 33464442, 31275761, 29892686, 21008913, 21008913, 28700077, 21110497, 22514480, 21110497, 22368837, 21197006, 21197006, 21197006, 22049530, 34797098, 47405617, 25457273, 21440799, 27396605, 21519026, 21519026, 21519026, 21519026, 21519026, 21519026, 22052053, 28785890, 21523565, 21523565, 23029726, 21565930, 21565930, 21565930, 22227195, 22585261, 21626700, 21626700, 21626700, 22594147, 45179239, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 23199471, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 21680517, 21680517, 21680517, 21693226, 91178679, 21681957, 21694746, 21694746, 21694746]",0,0,0
0,35,meta-llama/Llama-3.1-70B,1,10,3336021694,3621046987,285025293,20334854,42460560,30320591,"[26599157, 23372817, 21761555, 21761555, 21761555, 21761555, 82547372, 22999167]",0,0,0
0,48,meta-llama/Llama-3.1-70B,17,22,4209283457,4327870923,118587466,2690854,26063056,23131102,"[25089213, 22478399, 22478399, 22478399]",0,0,0
0,26,meta-llama/Llama-3.1-70B,192,275,2250691133,4417583867,2166892734,2505913,31291803,26043913,"[21523565, 21523565, 23029726, 21565930, 21565930, 21565930, 22227195, 22585261, 21626700, 21626700, 21626700, 22594147, 45179239, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 23199471, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21760675, 21680517, 21680517, 21680517, 21680517, 21680517, 21680517, 21693226, 91178679, 21681957, 21694746, 21694746, 21694746, 22125706, 26599157, 23372817, 21761555, 21761555, 21761555, 21761555, 82547372, 22999167, 21828674, 83361217, 22136320, 22136320, 22133280, 22133280, 22133280, 22133280, 22133280, 91630227, 27810146, 22284637, 23986064, 22325890, 44785819, 22404762, 30732926, 22418961, 22418961, 23372202, 25089213, 22478399, 22478399, 22478399, 22428236, 22428236, 22428236, 22428236]",0,0,0
