prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,0,6.629
0,0,1,64,6.653
0,0,1,128,8.546
0,0,1,256,12.615
0,0,1,512,21.027
0,0,1,1024,37.683
0,0,1,2048,70.279
0,0,2,0,6.405
0,0,2,64,6.429
0,0,2,128,7.02
0,0,2,256,9.542
0,0,2,512,13.478
0,0,2,1024,21.624
0,0,2,2048,38.281
0,0,4,0,6.467
0,0,4,64,6.467
0,0,4,128,6.472
0,0,4,256,7.028
0,0,4,512,9.513
0,0,4,1024,13.502
0,0,4,2048,21.836
0,0,8,0,6.664
0,0,8,64,6.664
0,0,8,128,6.688
0,0,8,256,6.728
0,0,8,512,7.571
0,0,8,1024,9.589
0,0,8,2048,14.238
0,0,16,0,8.648
0,0,16,64,8.65
0,0,16,128,8.686
0,0,16,256,8.804
0,0,16,512,8.964
0,0,16,1024,9.475
0,0,16,2048,13.747
0,0,32,0,13.627
0,0,32,64,15.126
0,0,32,128,15.161
0,0,32,256,15.23
0,0,32,512,15.278
0,0,32,1024,15.486
0,0,32,2048,17.012
0,0,64,0,3.22
0,0,64,64,24.869
0,0,64,128,27.546
0,0,64,256,27.561
0,0,64,512,27.563
0,0,64,1024,27.723
0,0,64,2048,27.98
0,0,128,0,3.208
0,0,128,64,3.205
0,0,128,128,50.403
0,0,128,256,50.385
0,0,128,512,50.313
0,0,128,1024,50.336
0,0,128,2048,50.691
0,0,256,0,3.31
0,0,256,64,3.304
0,0,256,128,3.323
0,0,256,256,94.518
0,0,256,512,95.857
0,0,256,1024,96.077
0,0,256,2048,96.273
0,64,1,0,6.629
0,64,1,64,6.653
0,64,1,128,8.546
0,64,1,256,12.615
0,64,1,512,21.027
0,64,1,1024,37.683
0,64,1,2048,70.279
0,64,2,0,6.405
0,64,2,64,6.429
0,64,2,128,7.02
0,64,2,256,9.542
0,64,2,512,13.478
0,64,2,1024,21.624
0,64,2,2048,38.281
0,64,4,0,6.467
0,64,4,64,6.467
0,64,4,128,6.472
0,64,4,256,7.028
0,64,4,512,9.513
0,64,4,1024,13.502
0,64,4,2048,21.836
0,64,8,0,6.664
0,64,8,64,6.664
0,64,8,128,6.688
0,64,8,256,6.728
0,64,8,512,7.571
0,64,8,1024,9.589
0,64,8,2048,14.238
0,64,16,0,8.648
0,64,16,64,8.65
0,64,16,128,8.686
0,64,16,256,8.804
0,64,16,512,8.964
0,64,16,1024,9.475
0,64,16,2048,13.747
0,64,32,0,13.627
0,64,32,64,15.126
0,64,32,128,15.161
0,64,32,256,15.23
0,64,32,512,15.278
0,64,32,1024,15.486
0,64,32,2048,17.012
0,64,64,0,3.22
0,64,64,64,24.869
0,64,64,128,27.546
0,64,64,256,27.561
0,64,64,512,27.563
0,64,64,1024,27.723
0,64,64,2048,27.98
0,64,128,0,3.208
0,64,128,64,3.205
0,64,128,128,50.403
0,64,128,256,50.385
0,64,128,512,50.313
0,64,128,1024,50.336
0,64,128,2048,50.691
0,64,256,0,3.31
0,64,256,64,3.304
0,64,256,128,3.323
