prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,0,4.259
0,0,1,64,4.273
0,0,1,128,5.49
0,0,1,256,8.103
0,0,1,512,13.507
0,0,1,1024,24.207
0,0,1,2048,45.145
0,0,2,0,4.115
0,0,2,64,4.129
0,0,2,128,4.51
0,0,2,256,6.13
0,0,2,512,8.658
0,0,2,1024,13.89
0,0,2,2048,24.591
0,0,4,0,4.155
0,0,4,64,4.155
0,0,4,128,4.158
0,0,4,256,4.514
0,0,4,512,6.111
0,0,4,1024,8.674
0,0,4,2048,14.026
0,0,8,0,4.28
0,0,8,64,4.28
0,0,8,128,4.296
0,0,8,256,4.322
0,0,8,512,4.863
0,0,8,1024,6.159
0,0,8,2048,9.146
0,0,16,0,5.556
0,0,16,64,5.556
0,0,16,128,5.58
0,0,16,256,5.656
0,0,16,512,5.758
0,0,16,1024,6.087
0,0,16,2048,8.831
0,0,32,0,8.753
0,0,32,64,9.716
0,0,32,128,9.739
0,0,32,256,9.784
0,0,32,512,9.814
0,0,32,1024,9.948
0,0,32,2048,10.928
0,0,64,0,2.068
0,0,64,64,15.975
0,0,64,128,17.694
0,0,64,256,17.705
0,0,64,512,17.705
0,0,64,1024,17.809
0,0,64,2048,17.974
0,0,128,0,2.06
0,0,128,64,2.059
0,0,128,128,32.377
0,0,128,256,32.365
0,0,128,512,32.319
0,0,128,1024,32.334
0,0,128,2048,32.563
0,0,256,0,2.126
0,0,256,64,2.122
0,0,256,128,2.135
0,0,256,256,60.716
0,0,256,512,61.575
0,0,256,1024,61.717
0,0,256,2048,61.843
0,64,1,0,4.259
0,64,1,64,4.273
0,64,1,128,5.49
0,64,1,256,8.103
0,64,1,512,13.507
0,64,1,1024,24.207
0,64,1,2048,45.145
0,64,2,0,4.115
0,64,2,64,4.129
0,64,2,128,4.51
0,64,2,256,6.13
0,64,2,512,8.658
0,64,2,1024,13.89
0,64,2,2048,24.591
0,64,4,0,4.155
0,64,4,64,4.155
0,64,4,128,4.158
0,64,4,256,4.514
0,64,4,512,6.111
0,64,4,1024,8.674
0,64,4,2048,14.026
0,64,8,0,4.28
0,64,8,64,4.28
0,64,8,128,4.296
0,64,8,256,4.322
0,64,8,512,4.863
0,64,8,1024,6.159
0,64,8,2048,9.146
0,64,16,0,5.556
0,64,16,64,5.556
0,64,16,128,5.58
0,64,16,256,5.656
0,64,16,512,5.758
0,64,16,1024,6.087
0,64,16,2048,8.831
0,64,32,0,8.753
0,64,32,64,9.716
0,64,32,128,9.739
0,64,32,256,9.784
0,64,32,512,9.814
0,64,32,1024,9.948
0,64,32,2048,10.928
0,64,64,0,2.068
0,64,64,64,15.975
0,64,64,128,17.694
0,64,64,256,17.705
0,64,64,512,17.705
0,64,64,1024,17.809
0,64,64,2048,17.974
0,64,128,0,2.06
0,64,128,64,2.059
0,64,128,128,32.377
0,64,128,256,32.365
0,64,128,512,32.319
0,64,128,1024,32.334
0,64,128,2048,32.563
0,64,256,0,2.126
0,64,256,64,2.122
0,64,256,128,2.135
0,64,256,256,60.716
0,64,256,512,61.575
0,64,256,1024,61.717
0,64,256,2048,61.843
0,128,1,0,4.259
0,128,1,64,4.273
0,128,1,128,5.49
0,128,1,256,8.103
0,128,1,512,13.507
0,128,1,1024,24.207
0,128,1,2048,45.145
0,128,2,0,4.115
0,128,2,64,4.129
0,128,2,128,4.51
0,128,2,256,6.13
0,128,2,512,8.658
0,128,2,1024,13.89
0,128,2,2048,24.591
0,128,4,0,4.155
0,128,4,64,4.155
0,128,4,128,4.158
0,128,4,256,4.514
0,128,4,512,6.111
0,128,4,1024,8.674
0,128,4,2048,14.026
0,128,8,0,4.28
0,128,8,64,4.28
0,128,8,128,4.296
0,128,8,256,4.322
0,128,8,512,4.863
0,128,8,1024,6.159
0,128,8,2048,9.146
0,128,16,0,5.556
0,128,16,64,5.556
0,128,16,128,5.58
0,128,16,256,5.656
0,128,16,512,5.758
0,128,16,1024,6.087
0,128,16,2048,8.831
0,128,32,0,8.753
0,128,32,64,9.716
0,128,32,128,9.739
0,128,32,256,9.784
0,128,32,512,9.814
0,128,32,1024,9.948
0,128,32,2048,10.928
0,128,64,0,2.068
