prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,0,5.444
0,0,1,64,5.463
0,0,1,128,7.018
0,0,1,256,10.359
0,0,1,512,17.267
0,0,1,1024,30.945
0,0,1,2048,57.712
0,0,2,0,5.26
0,0,2,64,5.279
0,0,2,128,5.765
0,0,2,256,7.836
0,0,2,512,11.068
0,0,2,1024,17.757
0,0,2,2048,31.436
0,0,4,0,5.311
0,0,4,64,5.311
0,0,4,128,5.315
0,0,4,256,5.771
0,0,4,512,7.812
0,0,4,1024,11.088
0,0,4,2048,17.931
0,0,8,0,5.472
0,0,8,64,5.472
0,0,8,128,5.492
0,0,8,256,5.525
0,0,8,512,6.217
0,0,8,1024,7.874
0,0,8,2048,11.692
0,0,16,0,7.102
0,0,16,64,7.103
0,0,16,128,7.133
0,0,16,256,7.23
0,0,16,512,7.361
0,0,16,1024,7.781
0,0,16,2048,11.289
0,0,32,0,11.19
0,0,32,64,12.421
0,0,32,128,12.45
0,0,32,256,12.507
0,0,32,512,12.546
0,0,32,1024,12.717
0,0,32,2048,13.97
0,0,64,0,2.644
0,0,64,64,20.422
0,0,64,128,22.62
0,0,64,256,22.633
0,0,64,512,22.634
0,0,64,1024,22.766
0,0,64,2048,22.977
0,0,128,0,2.634
0,0,128,64,2.632
0,0,128,128,41.39
0,0,128,256,41.375
0,0,128,512,41.316
0,0,128,1024,41.335
0,0,128,2048,41.627
0,0,256,0,2.718
0,0,256,64,2.713
0,0,256,128,2.729
0,0,256,256,77.617
0,0,256,512,78.716
0,0,256,1024,78.897
0,0,256,2048,79.058
0,64,1,0,5.444
0,64,1,64,5.463
0,64,1,128,7.018
0,64,1,256,10.359
0,64,1,512,17.267
0,64,1,1024,30.945
0,64,1,2048,57.712
0,64,2,0,5.26
0,64,2,64,5.279
0,64,2,128,5.765
0,64,2,256,7.836
0,64,2,512,11.068
0,64,2,1024,17.757
0,64,2,2048,31.436
0,64,4,0,5.311
0,64,4,64,5.311
0,64,4,128,5.315
0,64,4,256,5.771
0,64,4,512,7.812
0,64,4,1024,11.088
0,64,4,2048,17.931
0,64,8,0,5.472
0,64,8,64,5.472
0,64,8,128,5.492
0,64,8,256,5.525
0,64,8,512,6.217
0,64,8,1024,7.874
0,64,8,2048,11.692
0,64,16,0,7.102
0,64,16,64,7.103
0,64,16,128,7.133
0,64,16,256,7.23
0,64,16,512,7.361
0,64,16,1024,7.781
0,64,16,2048,11.289
0,64,32,0,11.19
0,64,32,64,12.421
0,64,32,128,12.45
0,64,32,256,12.507
0,64,32,512,12.546
0,64,32,1024,12.717
0,64,32,2048,13.97
0,64,64,0,2.644
0,64,64,64,20.422
0,64,64,128,22.62
0,64,64,256,22.633
0,64,64,512,22.634
0,64,64,1024,22.766
0,64,64,2048,22.977
0,64,128,0,2.634
0,64,128,64,2.632
0,64,128,128,41.39
0,64,128,256,41.375
0,64,128,512,41.316
0,64,128,1024,41.335
0,64,128,2048,41.627
0,64,256,0,2.718
0,64,256,64,2.713
0,64,256,128,2.729
0,64,256,256,77.617
0,64,256,512,78.716
0,64,256,1024,78.897
0,64,256,2048,79.058
0,128,1,0,5.444
0,128,1,64,5.463
0,128,1,128,7.018
0,128,1,256,10.359
0,128,1,512,17.267
0,128,1,1024,30.945
0,128,1,2048,57.712
0,128,2,0,5.26
0,128,2,64,5.279
0,128,2,128,5.765
0,128,2,256,7.836
0,128,2,512,11.068
0,128,2,1024,17.757
0,128,2,2048,31.436
0,128,4,0,5.311
0,128,4,64,5.311
0,128,4,128,5.315
0,128,4,256,5.771
0,128,4,512,7.812
0,128,4,1024,11.088
0,128,4,2048,17.931
0,128,8,0,5.472
0,128,8,64,5.472
0,128,8,128,5.492
0,128,8,256,5.525
0,128,8,512,6.217
0,128,8,1024,7.874
0,128,8,2048,11.692
0,128,16,0,7.102
0,128,16,64,7.103
0,128,16,128,7.133
0,128,16,256,7.23
0,128,16,512,7.361
0,128,16,1024,7.781
0,128,16,2048,11.289
0,128,32,0,11.19
0,128,32,64,12.421
0,128,32,128,12.45
0,128,32,256,12.507
0,128,32,512,12.546
0,128,32,1024,12.717
